,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.89275686 0.9004154  0.04709071 0.06207176]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.39946357 0.4071221  0.04709071 0.06207176]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.31577718 0.32343571 0.25561178 0.27059283]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.86538603 0.87304456 0.41006331 0.42504436]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.49397818 0.50163672 0.73135912 0.74634017]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.30202555 0.30968409 0.90688132 0.92186237]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.77832752 0.78598606 0.39023548 0.40521653]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.38712893 0.39478747 0.74699261 0.76197366]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.67351099 0.68116953 0.91061764 0.92559869]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.83875658 0.84641512 0.91061764 0.92559869]
0,lg-100057130-aug-gonville--page-5.svg,[0.24320299 0.2499618  0.06277973 0.07760666]
0,lg-100057130-aug-gonville--page-5.svg,[0.32897271 0.33573151 0.06277973 0.07760666]
0,lg-100057130-aug-gonville--page-5.svg,[0.41888292 0.42564173 0.89425127 0.90907819]
0,lg-100032803-aug-beethoven-.svg,[0.30214954 0.30990929 0.0654419  0.08068536]
0,lg-100032803-aug-beethoven-.svg,[0.2796218  0.28738155 0.08035139 0.09559484]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.77807841 0.7859955  0.39250411 0.40599577]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.38247364 0.39039073 0.74929344 0.7627851 ]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.67298186 0.68089895 0.91290774 0.9263994 ]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.83736882 0.84528591 0.91290774 0.9263994 ]
0,lg-100057130-aug-gonville--page-8.svg,[0.47219325 0.47895206 0.38008934 0.39491627]
0,lg-100057130-aug-gonville--page-8.svg,[0.73749494 0.74425374 0.38903503 0.40386196]
0,lg-100057130-aug-gonville--page-8.svg,[0.53117411 0.53793292 0.58429084 0.59911776]
0,lg-100057130-aug-gonville--page-8.svg,[0.5904797  0.59723851 0.55472414 0.56955106]
0,lg-100057130-aug-gonville--page-8.svg,[0.3677082  0.37446701 0.58130894 0.59613587]
0,lg-100057130-aug-gonville--page-8.svg,[0.71898371 0.72574252 0.74114995 0.75597687]
0,lg-100057130-aug-gonville--page-8.svg,[0.66819024 0.67494904 0.90187836 0.91670529]
0,lg-100052827-aug-gonville--page-5.svg,[0.27524952 0.28118875 0.2536871  0.26671611]
0,lg-100052827-aug-gonville--page-5.svg,[0.27524952 0.28118875 0.63351384 0.64654285]
0,lg-100052827-aug-gonville--page-5.svg,[0.31809753 0.32403676 0.35977985 0.37280886]
