,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.7387705  0.74491083 0.23353859 0.25176394]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.37121048 0.3773508  0.23353859 0.25176394]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.53694359 0.54308391 0.45107632 0.46930167]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74225395 0.74839428 0.41204329 0.43026864]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74225395 0.74839428 0.41204329 0.43026864]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.83211188 0.8382522  0.40906139 0.42728674]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.31860105 0.32474138 0.43020304 0.44842839]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.53490749 0.54104782 0.57869017 0.59691553]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.84201652 0.84815685 0.55781689 0.57604225]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.41447109 0.42061142 0.60870714 0.62693249]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.59204204 0.59818236 0.72439341 0.74261876]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.91569705 0.92183737 0.73930289 0.75752825]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.76836805 0.77450837 0.7333391  0.75156445]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74066995 0.74681028 0.77528365 0.79350901]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.44412937 0.45026969 0.72439341 0.74261876]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.41643127 0.4225716  0.76633796 0.78456332]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.3144091  0.32054942 0.7333391  0.75156445]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.84071339 0.84685372 0.9118432  0.93006855]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.20523361 0.21137394 0.89096992 0.90919528]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.11954909 0.12568942 0.9088613  0.92708666]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.33153622 0.33767654 0.9118432  0.93006855]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.14386242 0.15000274 0.22560853 0.24383388]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.11954909 0.12568942 0.60650411 0.62472947]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.30700697 0.3131473  0.56478678 0.58301213]
0,lg-100057130-aug-gonville--page-5.svg,[0.48123869 0.48718371 0.10407717 0.11998903]
0,lg-100057130-aug-gonville--page-5.svg,[0.83925169 0.84519671 0.42562645 0.4415383 ]
0,lg-100057130-aug-gonville--page-5.svg,[0.86397156 0.86991657 0.5675713  0.58348315]
0,lg-100057130-aug-gonville--page-5.svg,[0.24806913 0.25401414 0.72641754 0.7423294 ]
0,lg-100057130-aug-gonville--page-5.svg,[0.8383492  0.84429421 0.95372098 0.96963284]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.14446757 0.15080938 0.22631345 0.24256871]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.12030523 0.12664704 0.60718637 0.62344163]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.30601379 0.3123556  0.56546963 0.5817249 ]
0,lg-100057130-aug-gonville--page-8.svg,[0.86615272 0.87209774 0.26379532 0.27970718]
0,lg-100057130-aug-gonville--page-8.svg,[0.25043754 0.25638256 0.21825222 0.23416407]
0,lg-100057130-aug-gonville--page-8.svg,[0.3456421  0.35158711 0.23912549 0.25503735]
0,lg-100057130-aug-gonville--page-8.svg,[0.30288756 0.30883257 0.23912549 0.25503735]
0,lg-100057130-aug-gonville--page-8.svg,[0.63302786 0.63897288 0.39197455 0.4078864 ]
0,lg-100057130-aug-gonville--page-8.svg,[0.53158514 0.53753016 0.39197455 0.4078864 ]
0,lg-100057130-aug-gonville--page-8.svg,[0.38711038 0.39305539 0.38302886 0.39894071]
0,lg-100057130-aug-gonville--page-8.svg,[0.44568807 0.45163308 0.44439391 0.46030576]
0,lg-100057130-aug-gonville--page-8.svg,[0.28566766 0.29161267 0.40390213 0.41981399]
