,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.21574386 0.22502182 0.43931571 0.4572071 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.5612063  0.57048427 0.73052419 0.74841557]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.84120765 0.85048562 0.77246874 0.79036012]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.73753231 0.74681028 0.73946988 0.75736126]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.69214367 0.70142164 0.8971007  0.91499208]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.17410352 0.18338148 0.8971007  0.91499208]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.89182822 0.90110619 0.06811428 0.08600566]
0,lg-100032803-aug-beethoven-.svg,[0.49687881 0.50605556 0.16580062 0.18354887]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.89371039 0.9014461  0.06928318 0.08459224]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.21737974 0.22511545 0.4375892  0.45289825]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.56310197 0.57083767 0.7306542  0.74596326]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.84227168 0.85000738 0.7726727  0.78798176]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.73818389 0.74591959 0.73959989 0.75490895]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.69350459 0.7012403  0.89819565 0.91350471]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.1742642  0.18199991 0.89819565 0.91350471]
0,lg-100052827-aug-beethoven--page-5.svg,[0.31899384 0.32705781 0.73611785 0.75171395]
0,lg-100052827-aug-beethoven--page-5.svg,[0.31899384 0.32705781 0.04545821 0.06105431]
0,lg-100052827-aug-beethoven--page-5.svg,[0.37266447 0.38072844 0.26070319 0.27629928]
0,lg-100052827-aug-beethoven--page-5.svg,[0.37266447 0.38072844 0.64051107 0.65610716]
0,lg-100052827-aug-beethoven--page-5.svg,[0.37266447 0.38072844 0.80611948 0.82171557]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.71721653 0.72495224 0.0810086  0.09631766]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.39548965 0.40322536 0.0810086  0.09631766]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.23135236 0.23908806 0.22721816 0.24252722]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.59210865 0.59890632 0.74586593 0.75931861]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.57220962 0.57900729 0.55113695 0.56458963]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.57220962 0.57900729 0.76420812 0.7776608 ]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.57220962 0.57900729 0.1250942  0.13854688]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.57220962 0.57900729 0.48390605 0.49735873]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.59210865 0.59890632 0.46556386 0.47901654]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.57220962 0.57900729 0.80563472 0.8190874 ]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.92587557 0.93267324 0.81349565 0.82694833]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.7725304  0.77932807 0.37212984 0.38558252]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.7725304  0.77932807 0.74586593 0.75931861]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.74888917 0.75568684 0.05222386 0.06567654]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.27827412 0.28507179 0.05222386 0.06567654]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.27827412 0.28507179 0.37212984 0.38558252]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.44101516 0.44781283 0.46556386 0.47901654]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.44101516 0.44781283 0.1250942  0.13854688]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.44101516 0.44781283 0.26297395 0.27642663]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.44101516 0.44781283 0.74586593 0.75931861]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.40607993 0.4128776  0.46556386 0.47901654]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.40607993 0.4128776  0.1250942  0.13854688]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.40607993 0.4128776  0.74586593 0.75931861]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.44101516 0.44781283 0.81087534 0.82432802]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.4609142  0.46771187 0.64195066 0.65540334]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.27827412 0.28507179 0.74586593 0.75931861]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.36328603 0.3700837  0.05222386 0.06567654]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.34338699 0.35018466 0.80563472 0.8190874 ]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.34338699 0.35018466 0.63933035 0.65278303]
0,lg-100057130-aug-beethoven--page-14.svg,[0.6138073  0.62298405 0.88462206 0.90237031]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.91907641 0.92737756 0.27138253 0.29328833]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.91907641 0.92737756 0.81917754 0.84108334]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.91907641 0.92737756 0.65290304 0.67480885]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.21504049 0.22334164 0.80083536 0.82274116]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.21504049 0.22334164 0.54638633 0.56829213]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.16099854 0.16929969 0.80869629 0.8306021 ]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.82637186 0.83452477 0.638397   0.65411887]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.82637186 0.83452477 0.25687648 0.27259835]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.82637186 0.83452477 0.80467149 0.82039336]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[0.46941843 0.4762161  0.45769507 0.47114775]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[0.46941843 0.4762161  0.16475943 0.17821211]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[0.46941843 0.4762161  0.78804614 0.80149882]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.67768988 0.68542558 0.71424542 0.72955447]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.64462341 0.65292456 0.74100264 0.76290844]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.62110671 0.62940785 0.75934482 0.78125062]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.62110671 0.62940785 0.80077142 0.82267722]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.62110671 0.62940785 0.54627365 0.56817946]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.64462341 0.65292456 0.46070057 0.48260637]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.50027386 0.50857501 0.63708737 0.65899317]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.62110671 0.62940785 0.1202309  0.14213671]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.62110671 0.62940785 0.47904275 0.50094855]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.83965073 0.84795188 0.74100264 0.76290844]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.83965073 0.84795188 0.36726654 0.38917235]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.812672   0.82097315 0.04736056 0.06926637]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.43929156 0.4475927  0.1202309  0.14213671]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.43929156 0.4475927  0.46070057 0.48260637]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.43929156 0.4475927  0.74100264 0.76290844]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.39459803 0.40289918 0.04736056 0.06926637]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.37108206 0.37938321 0.80077142 0.82267722]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.4767579  0.48505905 0.80601204 0.82791785]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.4767579  0.48505905 0.74100264 0.76290844]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.4767579  0.48505905 0.1202309  0.14213671]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.4767579  0.48505905 0.25811065 0.28001646]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.4767579  0.48505905 0.46070057 0.48260637]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.30001757 0.30831871 0.74100264 0.76290844]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.30001757 0.30831871 0.36726654 0.38917235]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.30001757 0.30831871 0.04736056 0.06926637]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.37108206 0.37938321 0.63446705 0.65637286]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.67610882 0.68538679 0.549662   0.56755338]
0,lg-100052827-aug-lilyjazz--page-5.svg,[0.32276642 0.33106756 0.73226809 0.75417389]
0,lg-100052827-aug-lilyjazz--page-5.svg,[0.32276642 0.33106756 0.04162051 0.06352631]
0,lg-100052827-aug-lilyjazz--page-5.svg,[0.37551132 0.38381247 0.25686233 0.27876814]
0,lg-100052827-aug-lilyjazz--page-5.svg,[0.37551132 0.38381247 0.63666288 0.65856868]
0,lg-100052827-aug-lilyjazz--page-5.svg,[0.37551132 0.38381247 0.80226867 0.82417447]
0,lg-100052827-aug-lilyjazz--page-1.svg,[0.47666525 0.4849664  0.45297536 0.47488117]
0,lg-100052827-aug-lilyjazz--page-1.svg,[0.47666525 0.4849664  0.15983534 0.18174114]
0,lg-100052827-aug-lilyjazz--page-1.svg,[0.47666525 0.4849664  0.78325359 0.80515939]
0,lg-100057130-aug-beethoven--page-2.svg,[0.71655062 0.72572737 0.07986355 0.0976118 ]
0,lg-100057130-aug-beethoven--page-2.svg,[0.39327938 0.40245613 0.07986355 0.0976118 ]
0,lg-100057130-aug-beethoven--page-2.svg,[0.23277483 0.24195158 0.22766723 0.24541548]
0,lg-100057130-aug-emmentaler--page-2.svg,[0.71554945 0.72482741 0.07983969 0.09773107]
0,lg-100057130-aug-emmentaler--page-2.svg,[0.39091687 0.40019484 0.07983969 0.09773107]
0,lg-100057130-aug-emmentaler--page-2.svg,[0.2317804  0.24105836 0.22502825 0.24291963]
0,lg-100052827-aug-beethoven--page-3.svg,[0.91948998 0.92755396 0.27523963 0.29083572]
0,lg-100052827-aug-beethoven--page-3.svg,[0.91948998 0.92755396 0.82303464 0.83863073]
0,lg-100052827-aug-beethoven--page-3.svg,[0.91948998 0.92755396 0.65676014 0.67235624]
0,lg-100052827-aug-beethoven--page-3.svg,[0.21487966 0.22294363 0.80469245 0.82028855]
0,lg-100052827-aug-beethoven--page-3.svg,[0.21487966 0.22294363 0.55024343 0.56583952]
0,lg-100052827-aug-beethoven--page-3.svg,[0.15901293 0.16707691 0.81255339 0.82814948]
0,lg-100032803-aug-lilyjazz-.svg,[0.49799385 0.50744051 0.16386836 0.18879701]
0,lg-100052827-aug-lilyjazz--page-4.svg,[0.82675282 0.83505397 0.63456086 0.65646667]
0,lg-100052827-aug-lilyjazz--page-4.svg,[0.82675282 0.83505397 0.25304035 0.27494615]
0,lg-100052827-aug-lilyjazz--page-4.svg,[0.82675282 0.83505397 0.80083536 0.82274116]
0,lg-100052827-aug-beethoven--page-1.svg,[0.46811359 0.47617756 0.45686129 0.47245738]
0,lg-100052827-aug-beethoven--page-1.svg,[0.46811359 0.47617756 0.16368038 0.17927648]
0,lg-100052827-aug-beethoven--page-1.svg,[0.46811359 0.47617756 0.78712484 0.80272093]
0,lg-100052827-aug-gutenberg1939--page-5.svg,[0.31439968 0.32119735 0.73703653 0.75048921]
0,lg-100052827-aug-gutenberg1939--page-5.svg,[0.31439968 0.32119735 0.04622597 0.05967864]
0,lg-100052827-aug-gutenberg1939--page-5.svg,[0.3673447  0.37414237 0.26150867 0.27496135]
0,lg-100052827-aug-gutenberg1939--page-5.svg,[0.3673447  0.37414237 0.64140669 0.65485937]
0,lg-100052827-aug-gutenberg1939--page-5.svg,[0.3673447  0.37414237 0.80705073 0.82050341]
0,lg-100057130-aug-lilyjazz--page-2.svg,[0.71697656 0.72642322 0.0754742  0.10040285]
0,lg-100057130-aug-lilyjazz--page-2.svg,[0.39360833 0.40305498 0.0754742  0.10040285]
0,lg-100057130-aug-lilyjazz--page-2.svg,[0.2352512  0.24469785 0.22163664 0.2465653 ]
0,lg-100057130-aug-lilyjazz--page-13.svg,[0.89217319 0.90161985 0.06374878 0.08867744]
0,lg-100057130-aug-beethoven--page-9.svg,[0.67664779 0.68582454 0.54968288 0.56743113]
0,lg-100057130-aug-emmentaler--page-4.svg,[0.67610882 0.68538679 0.71288806 0.73077944]
0,lg-100057130-aug-beethoven--page-13.svg,[0.89223308 0.90140983 0.06813813 0.08588638]
0,lg-100052827-aug-emmentaler--page-3.svg,[0.91922464 0.92737756 0.27521867 0.29094053]
0,lg-100052827-aug-emmentaler--page-3.svg,[0.91922464 0.92737756 0.82301367 0.83873554]
0,lg-100052827-aug-emmentaler--page-3.svg,[0.91922464 0.92737756 0.65673918 0.67246105]
0,lg-100052827-aug-emmentaler--page-3.svg,[0.21429413 0.22244704 0.80467149 0.82039336]
0,lg-100052827-aug-emmentaler--page-3.svg,[0.21429413 0.22244704 0.55022246 0.56594433]
0,lg-100052827-aug-emmentaler--page-3.svg,[0.15852154 0.16667445 0.81253243 0.8282543 ]
0,lg-100057130-aug-lilyjazz--page-14.svg,[0.61528418 0.62473083 0.88031918 0.90524784]
0,lg-100057130-aug-emmentaler--page-14.svg,[0.61246621 0.62174417 0.88462802 0.9025194 ]
0,lg-100057130-aug-gutenberg1939--page-7.svg,[0.63939382 0.64712952 0.5714549  0.58676396]
0,lg-100057130-aug-gutenberg1939--page-7.svg,[0.74241801 0.75015372 0.59228822 0.60759728]
0,lg-100032803-aug-emmentaler-.svg,[0.49544747 0.50472544 0.16599147 0.18388285]
0,lg-100052827-aug-emmentaler--page-1.svg,[0.46772743 0.47588035 0.45685657 0.47257844]
0,lg-100052827-aug-emmentaler--page-1.svg,[0.46772743 0.47588035 0.16365261 0.17937448]
0,lg-100052827-aug-emmentaler--page-1.svg,[0.46772743 0.47588035 0.78711174 0.8028336 ]
0,lg-100052827-aug-gutenberg1939--page-4.svg,[0.82300731 0.82980497 0.63942416 0.65287684]
0,lg-100052827-aug-gutenberg1939--page-4.svg,[0.82300731 0.82980497 0.25790365 0.27135633]
0,lg-100052827-aug-gutenberg1939--page-4.svg,[0.82300731 0.82980497 0.80569865 0.81915133]
0,lg-100057130-aug-gutenberg1939--page-14.svg,[0.61339275 0.62112845 0.88576174 0.9010708 ]
0,lg-100057130-aug-lilyjazz--page-4.svg,[0.67774512 0.68719177 0.70763157 0.73256023]
0,lg-100057130-aug-beethoven--page-6.svg,[0.21696855 0.2261453  0.43936462 0.45711287]
0,lg-100057130-aug-beethoven--page-6.svg,[0.56184564 0.57102239 0.73055699 0.74830524]
0,lg-100057130-aug-beethoven--page-6.svg,[0.84138225 0.850559   0.77250095 0.7902492 ]
0,lg-100057130-aug-beethoven--page-6.svg,[0.73778029 0.74695704 0.73950268 0.75725093]
0,lg-100057130-aug-beethoven--page-6.svg,[0.69283109 0.70200784 0.89712515 0.9148734 ]
0,lg-100057130-aug-beethoven--page-6.svg,[0.17554666 0.18472341 0.89712515 0.9148734 ]
0,lg-100052827-aug-gutenberg1939--page-3.svg,[0.92140259 0.92820026 0.27624583 0.28969851]
0,lg-100052827-aug-gutenberg1939--page-3.svg,[0.92140259 0.92820026 0.82404083 0.83749351]
0,lg-100052827-aug-gutenberg1939--page-3.svg,[0.92140259 0.92820026 0.65776634 0.67121902]
0,lg-100052827-aug-gutenberg1939--page-3.svg,[0.1423369  0.14913457 0.55124963 0.56470231]
0,lg-100052827-aug-gutenberg1939--page-3.svg,[0.1423369  0.14913457 0.80569865 0.81915133]
0,lg-100052827-aug-emmentaler--page-2.svg,[0.64290908 0.65106199 0.74483877 0.76056064]
0,lg-100052827-aug-emmentaler--page-2.svg,[0.61954135 0.62769426 0.76318095 0.77890282]
0,lg-100052827-aug-emmentaler--page-2.svg,[0.61954135 0.62769426 0.80460756 0.82032943]
0,lg-100052827-aug-emmentaler--page-2.svg,[0.61954135 0.62769426 0.55010979 0.56583166]
0,lg-100052827-aug-emmentaler--page-2.svg,[0.64290908 0.65106199 0.4645367  0.48025857]
