,file_name,bbox
0,lg-100057130-aug-emmentaler--page-13.svg,[0.68992793 0.69370659 0.11744141 0.12011319]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.14304933 0.14682799 0.11744141 0.12011319]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.83481008 0.83858874 0.62024469 0.62291647]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.65039959 0.65417825 0.72127911 0.72395089]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.65039959 0.65417825 0.79253214 0.79520392]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.65039959 0.65417825 0.7391705  0.74184228]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.68906212 0.69273279 0.1175667  0.12005278]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.14101366 0.14468432 0.1175667  0.12005278]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.83406067 0.83773133 0.62033718 0.62282326]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.64688535 0.65055601 0.72136146 0.72384754]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.64688535 0.65055601 0.79266876 0.79515483]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.64688535 0.65055601 0.73925284 0.74173892]
0,lg-100057130-aug-gonville--page-8.svg,[0.85276294 0.85609103 0.5525116  0.55487068]
0,lg-100057130-aug-gonville--page-8.svg,[0.85276294 0.85609103 0.55847539 0.56083448]
0,lg-100057130-aug-gonville--page-8.svg,[0.85276294 0.85609103 0.57040298 0.57276207]
0,lg-100052827-aug-gonville--page-1.svg,[0.71301375 0.71593828 0.86339223 0.86546526]
0,lg-100052827-aug-gonville--page-1.svg,[0.71301375 0.71593828 0.84242974 0.84450276]
0,lg-100052827-aug-gonville--page-1.svg,[0.71301375 0.71593828 0.55411528 0.55618831]
0,lg-100052827-aug-gonville--page-1.svg,[0.71301375 0.71593828 0.3758885  0.37796152]
0,lg-100052827-aug-gonville--page-1.svg,[0.71301375 0.71593828 0.71399936 0.71607238]
0,lg-100052827-aug-gonville--page-1.svg,[0.71301375 0.71593828 0.80704296 0.80911598]
0,lg-100052827-aug-gonville--page-1.svg,[0.71301375 0.71593828 0.61571514 0.61778816]
0,lg-100052827-aug-gonville--page-1.svg,[0.71301375 0.71593828 0.30381735 0.30589038]
0,lg-100052827-aug-gonville--page-1.svg,[0.71301375 0.71593828 0.24516377 0.2472368 ]
0,lg-100052827-aug-gonville--page-1.svg,[0.71301375 0.71593828 0.17309263 0.17516565]
0,lg-100052827-aug-gonville--page-1.svg,[0.89687454 0.89979907 0.30381735 0.30589038]
0,lg-100052827-aug-gonville--page-1.svg,[0.89687454 0.89979907 0.36540725 0.36748028]
0,lg-100052827-aug-gonville--page-1.svg,[0.38757911 0.39050364 0.54887466 0.55094768]
0,lg-100052827-aug-gonville--page-1.svg,[0.38757911 0.39050364 0.79656171 0.79863473]
0,lg-100052827-aug-gonville--page-1.svg,[0.21284514 0.21576967 0.55935591 0.56142893]
0,lg-100052827-aug-gonville--page-1.svg,[0.21284514 0.21576967 0.62095576 0.62302879]
0,lg-100052827-aug-gonville--page-1.svg,[0.21284514 0.21576967 0.84767036 0.84974339]
