,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.95078715 0.95238127 0.05221957 0.07637115]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.53538404 0.53697817 0.10877721 0.13292879]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.95078715 0.95238127 0.10877721 0.13292879]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.53538404 0.53697817 0.05221957 0.07637115]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.95078715 0.95238127 0.21879609 0.24294766]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.53298358 0.53457771 0.27535373 0.2995053 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.95078715 0.95238127 0.27535373 0.2995053 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.53298358 0.53457771 0.21879609 0.24294766]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.5291307  0.53072482 0.3853732  0.40952478]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.95078715 0.95238127 0.44200121 0.46615279]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.95078715 0.95238127 0.3853732  0.40952478]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.5291307  0.53072482 0.44200121 0.46615279]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.52709376 0.52868789 0.55202009 0.57617166]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.95078715 0.95238127 0.60857772 0.6327293 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.52709376 0.52868789 0.60857772 0.6327293 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.95078715 0.95238127 0.55202009 0.57617166]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.53063288 0.53222701 0.77515424 0.79930581]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.95078715 0.95238127 0.77515424 0.79930581]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.53063288 0.53222701 0.7185966  0.74274818]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.95078715 0.95238127 0.7185966  0.74274818]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.53823238 0.5398265  0.94173075 0.96588233]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.95078715 0.95238127 0.88517311 0.90932469]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.95078715 0.95238127 0.94173075 0.96588233]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.53823238 0.5398265  0.88517311 0.90932469]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.25319731 0.25479144 0.10357142 0.12772299]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.95078715 0.95238127 0.10357142 0.12772299]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.52548108 0.52707521 0.10357142 0.12772299]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.95078715 0.95238127 0.047241   0.07139258]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.66273253 0.66432665 0.10357142 0.12772299]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.25319731 0.25479144 0.047241   0.07139258]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.80049595 0.80209007 0.047241   0.07139258]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.66273253 0.66432665 0.047241   0.07139258]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.38841014 0.39000426 0.047241   0.07139258]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.80049595 0.80209007 0.10357142 0.12772299]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.38841014 0.39000426 0.10357142 0.12772299]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.52548108 0.52707521 0.047241   0.07139258]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.67795514 0.67954926 0.21086603 0.23501761]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.25760435 0.25919847 0.21086603 0.23501761]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.67795514 0.67954926 0.26719645 0.29134803]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.8148245  0.81641862 0.21086603 0.23501761]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.25760435 0.25919847 0.26719645 0.29134803]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.53629497 0.53788909 0.26719645 0.29134803]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.95078715 0.95238127 0.21086603 0.23501761]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.95078715 0.95238127 0.26719645 0.29134803]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.8148245  0.81641862 0.26719645 0.29134803]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.39797572 0.39956984 0.26719645 0.29134803]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.53629497 0.53788909 0.21086603 0.23501761]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.39797572 0.39956984 0.21086603 0.23501761]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.53222026 0.53381438 0.43082208 0.45497365]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.95078715 0.95238127 0.43082208 0.45497365]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.95078715 0.95238127 0.37449106 0.39864264]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.3952598  0.39685393 0.43082208 0.45497365]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.3952598  0.39685393 0.37449106 0.39864264]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.81201834 0.81361246 0.43082208 0.45497365]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.66929374 0.67088786 0.37449106 0.39864264]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.81201834 0.81361246 0.37449106 0.39864264]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.66929374 0.67088786 0.43082208 0.45497365]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.25537004 0.25696417 0.37449106 0.39864264]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.25537004 0.25696417 0.43082208 0.45497365]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.53222026 0.53381438 0.37449106 0.39864264]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.54870889 0.55030301 0.59444711 0.61859869]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.69171014 0.69330426 0.53811669 0.56226827]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.40605092 0.40764504 0.59444711 0.61859869]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.26083561 0.26242973 0.53811669 0.56226827]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.95078715 0.95238127 0.53811669 0.56226827]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.54870889 0.55030301 0.53811669 0.56226827]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.95078715 0.95238127 0.59444711 0.61859869]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.81048494 0.81207907 0.53811669 0.56226827]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.26083561 0.26242973 0.59444711 0.61859869]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.40605092 0.40764504 0.53811669 0.56226827]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.81048494 0.81207907 0.59444711 0.61859869]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.69171014 0.69330426 0.59444711 0.61859869]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.38037289 0.38196701 0.70174173 0.7258933 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.24929635 0.25089047 0.76673455 0.79088613]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.24929635 0.25089047 0.70174173 0.7258933 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.61840832 0.62000245 0.76673455 0.79088613]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.81548155 0.81707567 0.70174173 0.7258933 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.95078715 0.95238127 0.70174173 0.7258933 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.682751   0.68434512 0.70174173 0.7258933 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.38037289 0.38196701 0.76673455 0.79088613]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.95078715 0.95238127 0.76673455 0.79088613]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.682751   0.68434512 0.76673455 0.79088613]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.51878324 0.52037736 0.70174173 0.7258933 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.61840832 0.62000245 0.70174173 0.7258933 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.81548155 0.81707567 0.76673455 0.79088613]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.51878324 0.52037736 0.76673455 0.79088613]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.66656686 0.66816098 0.93035959 0.95451116]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.95078715 0.95238127 0.93035959 0.95451116]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.95078715 0.95238127 0.87402917 0.89818074]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.25937981 0.26097393 0.93035959 0.95451116]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.25937981 0.26097393 0.87402917 0.89818074]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.81174506 0.81333918 0.87402917 0.89818074]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.39447286 0.39606699 0.87402917 0.89818074]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.66656686 0.66816098 0.87402917 0.89818074]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.81174506 0.81333918 0.93035959 0.95451116]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.39447286 0.39606699 0.93035959 0.95451116]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.52859426 0.53018838 0.93035959 0.95451116]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.52859426 0.53018838 0.87402917 0.89818074]
0,lg-100057130-aug-gonville--page-5.svg,[0.53574589 0.53734001 0.04683725 0.07098883]
0,lg-100057130-aug-gonville--page-5.svg,[0.53574589 0.53734001 0.11173585 0.13588743]
0,lg-100057130-aug-gonville--page-5.svg,[0.32231814 0.32391226 0.11173585 0.13588743]
0,lg-100057130-aug-gonville--page-5.svg,[0.73015043 0.73174455 0.04683725 0.07098883]
0,lg-100057130-aug-gonville--page-5.svg,[0.32231814 0.32391226 0.04683725 0.07098883]
0,lg-100057130-aug-gonville--page-5.svg,[0.73015043 0.73174455 0.11173585 0.13588743]
0,lg-100057130-aug-gonville--page-5.svg,[0.95078715 0.95238127 0.04683725 0.07098883]
0,lg-100057130-aug-gonville--page-5.svg,[0.95078715 0.95238127 0.11173585 0.13588743]
0,lg-100057130-aug-gonville--page-5.svg,[0.34422679 0.34582091 0.21461905 0.23877062]
0,lg-100057130-aug-gonville--page-5.svg,[0.62823959 0.62983371 0.21461905 0.23877062]
0,lg-100057130-aug-gonville--page-5.svg,[0.34422679 0.34582091 0.29491557 0.31906714]
0,lg-100057130-aug-gonville--page-5.svg,[0.95078715 0.95238127 0.21461905 0.23877062]
0,lg-100057130-aug-gonville--page-5.svg,[0.62823959 0.62983371 0.29491557 0.31906714]
0,lg-100057130-aug-gonville--page-5.svg,[0.95078715 0.95238127 0.29491557 0.31906714]
0,lg-100057130-aug-gonville--page-5.svg,[0.5309787  0.53257282 0.39779876 0.42195034]
0,lg-100057130-aug-gonville--page-5.svg,[0.95078715 0.95238127 0.4577337  0.48188527]
0,lg-100057130-aug-gonville--page-5.svg,[0.95078715 0.95238127 0.39779876 0.42195034]
0,lg-100057130-aug-gonville--page-5.svg,[0.5309787  0.53257282 0.4577337  0.48188527]
0,lg-100057130-aug-gonville--page-5.svg,[0.53024405 0.53183818 0.56061689 0.58476847]
0,lg-100057130-aug-gonville--page-5.svg,[0.95078715 0.95238127 0.61657994 0.64073152]
0,lg-100057130-aug-gonville--page-5.svg,[0.53024405 0.53183818 0.61657994 0.64073152]
0,lg-100057130-aug-gonville--page-5.svg,[0.95078715 0.95238127 0.56061689 0.58476847]
0,lg-100057130-aug-gonville--page-5.svg,[0.53436769 0.53596181 0.77542559 0.79957717]
0,lg-100057130-aug-gonville--page-5.svg,[0.95078715 0.95238127 0.71946314 0.74361472]
0,lg-100057130-aug-gonville--page-5.svg,[0.95078715 0.95238127 0.77542559 0.79957717]
0,lg-100057130-aug-gonville--page-5.svg,[0.53436769 0.53596181 0.71946314 0.74361472]
0,lg-100057130-aug-gonville--page-5.svg,[0.95078715 0.95238127 0.94050639 0.96465796]
0,lg-100057130-aug-gonville--page-5.svg,[0.53243703 0.53403115 0.87830879 0.90246036]
0,lg-100057130-aug-gonville--page-5.svg,[0.53243703 0.53403115 0.94050639 0.96465796]
0,lg-100057130-aug-gonville--page-5.svg,[0.95078715 0.95238127 0.87830879 0.90246036]
0,lg-100032803-aug-beethoven-.svg,[0.95078715 0.95238127 0.1386433  0.16279487]
0,lg-100032803-aug-beethoven-.svg,[0.95078715 0.95238127 0.08526555 0.10941713]
0,lg-100032803-aug-beethoven-.svg,[0.7534398  0.75847437 0.1386433  0.16279487]
0,lg-100032803-aug-beethoven-.svg,[0.74932798 0.7509221  0.1386433  0.16279487]
0,lg-100032803-aug-beethoven-.svg,[0.7534398  0.75847437 0.08526555 0.10941713]
0,lg-100032803-aug-beethoven-.svg,[0.74932798 0.7509221  0.08526555 0.10941713]
0,lg-100032803-aug-beethoven-.svg,[0.55807288 0.55966701 0.1386433  0.16279487]
0,lg-100032803-aug-beethoven-.svg,[0.55807288 0.55966701 0.08526555 0.10941713]
0,lg-100032803-aug-beethoven-.svg,[0.36917692 0.37077104 0.1386433  0.16279487]
0,lg-100032803-aug-beethoven-.svg,[0.36917692 0.37077104 0.08526555 0.10941713]
0,lg-100032803-aug-beethoven-.svg,[0.61191291 0.61350703 0.26388297 0.28803454]
0,lg-100032803-aug-beethoven-.svg,[0.61191291 0.61350703 0.21050522 0.2346568 ]
0,lg-100032803-aug-beethoven-.svg,[0.44362752 0.44522164 0.21050522 0.2346568 ]
0,lg-100032803-aug-beethoven-.svg,[0.44362752 0.44522164 0.26388297 0.28803454]
0,lg-100032803-aug-beethoven-.svg,[0.78135045 0.78294457 0.26388297 0.28803454]
0,lg-100032803-aug-beethoven-.svg,[0.95078715 0.95238127 0.21050522 0.2346568 ]
0,lg-100032803-aug-beethoven-.svg,[0.95078715 0.95238127 0.26388297 0.28803454]
0,lg-100032803-aug-beethoven-.svg,[0.78135045 0.78294457 0.21050522 0.2346568 ]
0,lg-100032803-aug-beethoven-.svg,[0.27534128 0.2769354  0.21050522 0.2346568 ]
0,lg-100032803-aug-beethoven-.svg,[0.27534128 0.2769354  0.26388297 0.28803454]
0,lg-100032803-aug-beethoven-.svg,[0.95078715 0.95238127 0.33574489 0.35989647]
0,lg-100032803-aug-beethoven-.svg,[0.95078715 0.95238127 0.38912264 0.41327421]
0,lg-100032803-aug-beethoven-.svg,[0.51864407 0.52023819 0.38912264 0.41327421]
0,lg-100032803-aug-beethoven-.svg,[0.31130351 0.31289763 0.38912264 0.41327421]
0,lg-100032803-aug-beethoven-.svg,[0.73524234 0.73683647 0.33574489 0.35989647]
0,lg-100032803-aug-beethoven-.svg,[0.51864407 0.52023819 0.33574489 0.35989647]
0,lg-100032803-aug-beethoven-.svg,[0.31130351 0.31289763 0.33574489 0.35989647]
0,lg-100032803-aug-beethoven-.svg,[0.73524234 0.73683647 0.38912264 0.41327421]
0,lg-100032803-aug-beethoven-.svg,[0.95078715 0.95238127 0.46098456 0.48513614]
0,lg-100032803-aug-beethoven-.svg,[0.95078715 0.95238127 0.51436231 0.53851388]
0,lg-100032803-aug-beethoven-.svg,[0.52721691 0.52881103 0.51436231 0.53851388]
0,lg-100032803-aug-beethoven-.svg,[0.31549209 0.31708621 0.51436231 0.53851388]
0,lg-100032803-aug-beethoven-.svg,[0.73900161 0.74059573 0.46098456 0.48513614]
0,lg-100032803-aug-beethoven-.svg,[0.52721691 0.52881103 0.46098456 0.48513614]
0,lg-100032803-aug-beethoven-.svg,[0.31549209 0.31708621 0.46098456 0.48513614]
0,lg-100032803-aug-beethoven-.svg,[0.73900161 0.74059573 0.51436231 0.53851388]
0,lg-100032803-aug-beethoven-.svg,[0.75289578 0.7544899  0.58622423 0.61037581]
0,lg-100032803-aug-beethoven-.svg,[0.32417458 0.3257687  0.58622423 0.61037581]
0,lg-100032803-aug-beethoven-.svg,[0.75289578 0.7544899  0.63960198 0.66375355]
0,lg-100032803-aug-beethoven-.svg,[0.32417458 0.3257687  0.63960198 0.66375355]
0,lg-100032803-aug-beethoven-.svg,[0.54236613 0.54396026 0.63960198 0.66375355]
0,lg-100032803-aug-beethoven-.svg,[0.94734671 0.95238127 0.58622423 0.61037581]
0,lg-100032803-aug-beethoven-.svg,[0.94323489 0.94482901 0.58622423 0.61037581]
0,lg-100032803-aug-beethoven-.svg,[0.94734671 0.95238127 0.63960198 0.66375355]
0,lg-100032803-aug-beethoven-.svg,[0.94323489 0.94482901 0.63960198 0.66375355]
0,lg-100032803-aug-beethoven-.svg,[0.54236613 0.54396026 0.58622423 0.61037581]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.25473408 0.2563282  0.10357082 0.1277224 ]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.95078715 0.95238127 0.10357082 0.1277224 ]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.52732571 0.52891983 0.10357082 0.1277224 ]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.95078715 0.95238127 0.047241   0.07139258]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.66401964 0.66561376 0.10357082 0.1277224 ]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.25473408 0.2563282  0.047241   0.07139258]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.80102226 0.80261639 0.047241   0.07139258]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.66401964 0.66561376 0.047241   0.07139258]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.39081144 0.39240557 0.047241   0.07139258]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.80102226 0.80261639 0.10357082 0.1277224 ]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.39081144 0.39240557 0.10357082 0.1277224 ]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.52732571 0.52891983 0.047241   0.07139258]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.6781019  0.67969602 0.2108553  0.23500687]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.25783545 0.25942957 0.2108553  0.23500687]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.6781019  0.67969602 0.26718512 0.29133669]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.81489872 0.81649285 0.2108553  0.23500687]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.25783545 0.25942957 0.26718512 0.29133669]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.53643077 0.53802489 0.26718512 0.29133669]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.95078715 0.95238127 0.2108553  0.23500687]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.95078715 0.95238127 0.26718512 0.29133669]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.81489872 0.81649285 0.26718512 0.29133669]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.39817646 0.39977058 0.26718512 0.29133669]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.53643077 0.53802489 0.2108553  0.23500687]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.39817646 0.39977058 0.2108553  0.23500687]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.53193855 0.53353267 0.43079942 0.45495099]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.95078715 0.95238127 0.43079942 0.45495099]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.95078715 0.95238127 0.3744696  0.39862117]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.39493929 0.39653342 0.43079942 0.45495099]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.39493929 0.39653342 0.3744696  0.39862117]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.81197954 0.81357366 0.43079942 0.45495099]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.66900865 0.67060277 0.3744696  0.39862117]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.81197954 0.81357366 0.3744696  0.39862117]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.66900865 0.67060277 0.43079942 0.45495099]
