,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.13849807 0.21519646 0.04619614 0.05454903]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.13849807 0.21519646 0.05102503 0.05937792]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.23949798 0.31408774 0.05102503 0.05937792]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.23949798 0.31408774 0.05585451 0.0642074 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.3383901  0.42073962 0.03313365 0.04446843]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.3383901  0.42073962 0.03796313 0.04929791]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.44504198 0.51963175 0.04023235 0.04745093]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.44504198 0.51963175 0.04506123 0.05227981]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.55762248 0.63432087 0.03909744 0.04148654]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.55762248 0.63432087 0.04392692 0.04631602]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.64871353 0.72541192 0.0748802  0.08323309]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.64871353 0.72541192 0.07970968 0.08806257]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74760481 0.8243032  0.07005072 0.0772693 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74760481 0.8243032  0.0748802  0.08209878]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.84649694 0.92884645 0.07005072 0.0772693 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.84649694 0.92884645 0.0748802  0.08209878]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.1526807  0.20304486 0.24145672 0.24384581]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.1526807  0.20304486 0.2462862  0.24867529]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.23674748 0.31419149 0.20865585 0.21104495]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.23674748 0.31419149 0.21348533 0.21587443]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.33663235 0.41800178 0.20865585 0.21104495]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.33663235 0.41800178 0.21348533 0.21587443]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.44044264 0.51788665 0.20865585 0.21104495]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.44044264 0.51788665 0.21348533 0.21587443]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.57954631 0.62991047 0.21163775 0.21402684]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.57954631 0.62991047 0.21646723 0.21885632]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.65235133 0.72979534 0.21163775 0.21402684]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.65235133 0.72979534 0.21646723 0.21885632]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.75806023 0.83550424 0.21163775 0.21402684]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.75806023 0.83550424 0.21646723 0.21885632]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.8579451  0.93538911 0.21163775 0.21402684]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.8579451  0.93538911 0.21646723 0.21885632]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.13849807 0.21370946 0.37934917 0.38656775]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.13849807 0.21370946 0.38417865 0.39139723]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.23821762 0.31342901 0.39014245 0.39253154]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.23821762 0.31342901 0.39497133 0.39736042]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.33793801 0.4131494  0.39014245 0.39253154]
