,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.03720126 0.04519718 0.05171027 0.1334381 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.03720126 0.04519718 0.21828678 0.30001461]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.03720126 0.04519718 0.38489908 0.46662691]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.03720126 0.04519718 0.55151078 0.63323861]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.03720126 0.04519718 0.71808729 0.79981512]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.03720126 0.04519718 0.88466381 0.96639164]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.03720126 0.04519718 0.04661838 0.12834621]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.03720126 0.04519718 0.21024341 0.29197124]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.03720126 0.04519718 0.37386844 0.45559628]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.03720126 0.04519718 0.53749348 0.61922131]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.03689762 0.0451297  0.70108452 0.79154334]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.03720126 0.04519718 0.87340655 0.95513438]
0,lg-100057130-aug-gonville--page-5.svg,[0.03440116 0.04458988 0.04630373 0.13642095]
0,lg-100057130-aug-gonville--page-5.svg,[0.03274637 0.0445899  0.21399573 0.31968989]
0,lg-100057130-aug-gonville--page-5.svg,[0.03495815 0.04458989 0.39739681 0.48228783]
0,lg-100057130-aug-gonville--page-5.svg,[0.03536914 0.04458984 0.5601604  0.64118738]
0,lg-100057130-aug-gonville--page-5.svg,[0.03536914 0.04458984 0.71900664 0.80003362]
0,lg-100057130-aug-gonville--page-5.svg,[0.03469797 0.04458989 0.87789597 0.96507137]
0,lg-100032803-aug-beethoven-.svg,[0.10909635 0.11666124 0.08483603 0.16322467]
0,lg-100032803-aug-beethoven-.svg,[0.03766784 0.04523273 0.2100757  0.28846434]
0,lg-100032803-aug-beethoven-.svg,[0.03766784 0.04523273 0.33531537 0.41370401]
0,lg-100032803-aug-beethoven-.svg,[0.03766784 0.04523273 0.46055504 0.53894368]
0,lg-100032803-aug-beethoven-.svg,[0.03766784 0.04523273 0.58579471 0.66418335]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.03595295 0.04482131 0.04694571 0.12801743]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.03595295 0.04482131 0.21056001 0.29163173]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.03595295 0.04482131 0.37417431 0.45524603]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.03595295 0.04482131 0.5377886  0.61886033]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.03595295 0.04482131 0.70148146 0.7911141 ]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.03595295 0.04482131 0.87373507 0.95480679]
0,lg-100057130-aug-gonville--page-8.svg,[0.03495815 0.04458989 0.04648838 0.13137939]
0,lg-100057130-aug-gonville--page-8.svg,[0.03489277 0.04458992 0.21072064 0.29618276]
0,lg-100057130-aug-gonville--page-8.svg,[0.03513279 0.04458991 0.37558636 0.45880086]
0,lg-100057130-aug-gonville--page-8.svg,[0.03536914 0.04458984 0.53839732 0.6194243 ]
0,lg-100057130-aug-gonville--page-8.svg,[0.034833   0.04458987 0.69916465 0.78519024]
0,lg-100057130-aug-gonville--page-8.svg,[0.03536914 0.04458984 0.86493054 0.94595752]
0,lg-100052827-aug-gonville--page-1.svg,[0.10630909 0.11627905 0.77882464 0.86748046]
0,lg-100052827-aug-gonville--page-5.svg,[0.03421686 0.04484991 0.73811587 0.83286887]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.03595295 0.04482131 0.04724688 0.1283186 ]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.03595295 0.04482131 0.21478834 0.29586006]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.03595295 0.04482131 0.38232979 0.46340152]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.03595295 0.04482131 0.54987125 0.63094297]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.03595295 0.04482131 0.7174133  0.79848502]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.03595295 0.04482131 0.88495476 0.96602648]
0,lg-100052827-aug-gonville--page-3.svg,[0.03421686 0.04484991 0.73658666 0.83133966]
0,lg-100052827-aug-beethoven--page-5.svg,[0.03770445 0.04542167 0.7383014  0.83271749]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.03595295 0.04482131 0.04686949 0.12941917]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.03595295 0.04482131 0.21389854 0.29497026]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.03595295 0.04482131 0.3793968  0.46046852]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.03595295 0.04482131 0.54500049 0.62804556]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.03595295 0.04482131 0.71257786 0.79364958]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.03595295 0.04482131 0.87807552 0.95914724]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.0372603  0.04505328 0.73686616 0.83092289]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.03341822 0.04580087 0.05067167 0.15697118]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.03586098 0.04579939 0.23481813 0.31567588]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.03586098 0.04579939 0.39364707 0.47450483]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.03586098 0.04579939 0.55247543 0.63333319]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.03586098 0.04579939 0.71130438 0.79216214]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.03538569 0.04579495 0.87019114 0.95603819]
0,lg-100057130-aug-beethoven--page-14.svg,[0.03746239 0.0452345  0.04688459 0.13019003]
0,lg-100057130-aug-beethoven--page-14.svg,[0.03746239 0.0452345  0.21042017 0.29372561]
0,lg-100057130-aug-beethoven--page-14.svg,[0.03739812 0.04522373 0.37448889 0.46038836]
0,lg-100057130-aug-beethoven--page-14.svg,[0.03757309 0.04522471 0.54118703 0.62201886]
0,lg-100057130-aug-beethoven--page-14.svg,[0.03757309 0.04522471 0.70232039 0.78315222]
0,lg-100057130-aug-beethoven--page-14.svg,[0.03757309 0.04522471 0.86345435 0.94428618]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.03493843 0.04591183 0.73677406 0.83118785]
0,lg-100057130-aug-beethoven--page-8.svg,[0.03741789 0.04523842 0.04678038 0.1310875 ]
0,lg-100057130-aug-beethoven--page-8.svg,[0.03739552 0.04524039 0.21070474 0.29551397]
0,lg-100057130-aug-beethoven--page-8.svg,[0.03748476 0.04523249 0.37510509 0.4579131 ]
0,lg-100057130-aug-beethoven--page-8.svg,[0.03757309 0.04522471 0.53745966 0.61829149]
0,lg-100057130-aug-beethoven--page-8.svg,[0.03735295 0.04522769 0.69821202 0.78512197]
0,lg-100057130-aug-beethoven--page-8.svg,[0.03757309 0.04522471 0.86504191 0.94587374]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.03737888 0.04544286 0.73658794 0.8313384 ]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[0.10868945 0.11648243 0.77899054 0.86713222]
