,file_name,bbox
0,lg-100052827-aug-gonville--page-1.svg,[ 0.12908951972671434 0.13884855667497523 0.32089069632160655 0.32597514896471486]
0,lg-100052827-aug-gonville--page-5.svg,[ 0.05766110712112487 0.06742014406938573 0.22239475518428653 0.22747920782739484]
0,lg-100052827-aug-gonville--page-3.svg,[ 0.05766110712112487 0.06742014406938573 0.21839563560898662 0.22348008825209492]
0,lg-100052827-aug-beethoven--page-5.svg,[ 0.05937321886643379 0.06913225581469466 0.22258498980698782 0.22766944245009615]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[ 0.05782787125216145 0.06758690820042232 0.21606513046531495 0.22114958310842325]
0,lg-100052827-aug-lilyjazz--page-3.svg,[ 0.058609809733244096 0.06836884668150496 0.22286064658809226 0.22794509923120057]
0,lg-100052827-aug-emmentaler--page-4.svg,[ 0.05786715346969451 0.06762619041795538 0.21845852308756558 0.2235429757306739]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[ 0.12925628385775093 0.1390153208060118 0.31850254432257086 0.32358699696567916]
0,lg-100052827-aug-lilyjazz--page-2.svg,[ 0.058609809733244096 0.06836884668150496 0.22267984508717778 0.22776429773028609]
0,lg-100052827-aug-lilyjazz--page-5.svg,[ 0.058609809733244096 0.06836884668150496 0.22692160551732812 0.23200605816043643]
0,lg-100052827-aug-lilyjazz--page-1.svg,[ 0.13003896351274932 0.1397980004610102 0.3252891513858828 0.33037360402899113]
0,lg-100052827-aug-beethoven--page-3.svg,[ 0.05937321886643379 0.06913225581469466 0.21854080087203973 0.22362525351514803]
0,lg-100052827-aug-lilyjazz--page-4.svg,[ 0.058609809733244096 0.06836884668150496 0.22286064658809226 0.22794509923120057]
0,lg-100052827-aug-beethoven--page-1.svg,[ 0.13080163147202328 0.14056066842028417 0.3210044178453702 0.3260888704884785]
0,lg-100052827-aug-gutenberg1939--page-5.svg,[ 0.05782787125216145 0.06758690820042232 0.22007630347400914 0.22516075611711744]
0,lg-100052827-aug-emmentaler--page-3.svg,[ 0.05786715346969451 0.06762619041795538 0.21845852308756558 0.2235429757306739]
0,lg-100052827-aug-emmentaler--page-1.svg,[ 0.129295566075284 0.1390546030235449 0.3209410063044697 0.326025458947578]
0,lg-100052827-aug-gutenberg1939--page-4.svg,[ 0.05782787125216145 0.06758690820042232 0.21624593196622943 0.22133038460933774]
0,lg-100052827-aug-gutenberg1939--page-3.svg,[ 0.05782787125216145 0.06758690820042232 0.21624593196622943 0.22133038460933774]
0,lg-100052827-aug-emmentaler--page-2.svg,[ 0.05786715346969451 0.06762619041795538 0.21827772158665107 0.22336217422975937]
0,lg-100052827-aug-gonville--page-2.svg,[ 0.05766110712112487 0.06742014406938573 0.21821483410807213 0.22329928675118044]
0,lg-100052827-aug-gonville--page-4.svg,[ 0.05766110712112487 0.06742014406938573 0.21839563560898662 0.22348008825209492]
0,lg-100052827-aug-beethoven--page-4.svg,[ 0.05937321886643379 0.06913225581469466 0.21854080087203973 0.22362525351514803]
0,lg-100052827-aug-beethoven--page-2.svg,[ 0.05937321886643379 0.06913225581469466 0.2183599993711252 0.22344445201423352]
0,lg-100052827-aug-emmentaler--page-5.svg,[ 0.05786715346969451 0.06762619041795538 0.22248489390358303 0.22756934654669134]
