,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.05192288 0.07637145]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.10877692 0.13322549]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.21849939 0.24294796]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.27535343 0.299802  ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.3850765  0.40952507]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.44200091 0.46644949]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.55172339 0.57617196]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.60857743 0.633026  ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.7182999  0.74274847]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.77515394 0.79960251]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.88487642 0.90932499]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.94173045 0.96617903]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.0476183  0.95238085 0.0469443  0.07139287]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.0476183  0.95238085 0.10357112 0.12801969]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.0476183  0.95238085 0.21056933 0.23501791]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.0476183  0.95238085 0.26719615 0.29164472]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.0476183  0.95238085 0.37419437 0.39864294]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.0476183  0.95238085 0.43082178 0.45527035]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.0476183  0.95238085 0.53781999 0.56226857]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.0476183  0.95238085 0.59444681 0.61889539]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.0476183  0.95238085 0.70144503 0.7258936 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.0476183  0.95238085 0.76673426 0.79118283]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.0476183  0.95238085 0.87373247 0.89818104]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.0476183  0.95238085 0.93035929 0.95480786]
0,lg-100057130-aug-gonville--page-5.svg,[0.0476183  0.95238085 0.04654055 0.07098913]
0,lg-100057130-aug-gonville--page-5.svg,[0.0476183  0.95238085 0.11173555 0.13618413]
0,lg-100057130-aug-gonville--page-5.svg,[0.0476183  0.95238085 0.21432235 0.23877092]
0,lg-100057130-aug-gonville--page-5.svg,[0.0476183  0.95238085 0.29491527 0.31936384]
0,lg-100057130-aug-gonville--page-5.svg,[0.0476183  0.95238085 0.39750206 0.42195064]
0,lg-100057130-aug-gonville--page-5.svg,[0.0476183  0.95238085 0.4577334  0.48218197]
0,lg-100057130-aug-gonville--page-5.svg,[0.0476183  0.95238085 0.5603202  0.58476877]
0,lg-100057130-aug-gonville--page-5.svg,[0.0476183  0.95238085 0.61657964 0.64102822]
0,lg-100057130-aug-gonville--page-5.svg,[0.0476183  0.95238085 0.71916644 0.74361501]
0,lg-100057130-aug-gonville--page-5.svg,[0.0476183  0.95238085 0.77542529 0.79987387]
0,lg-100057130-aug-gonville--page-5.svg,[0.0476183  0.95238085 0.87801209 0.90246066]
0,lg-100057130-aug-gonville--page-5.svg,[0.0476183  0.95238085 0.94050609 0.96495466]
0,lg-100032803-aug-beethoven-.svg,[0.11904766 0.9523817  0.08496885 0.10941743]
0,lg-100032803-aug-beethoven-.svg,[0.11904766 0.9523817  0.138643   0.16309157]
0,lg-100032803-aug-beethoven-.svg,[0.0476183  0.95238085 0.21020852 0.2346571 ]
0,lg-100032803-aug-beethoven-.svg,[0.0476183  0.95238085 0.26388267 0.28833124]
0,lg-100032803-aug-beethoven-.svg,[0.0476183  0.95238085 0.33544819 0.35989677]
0,lg-100032803-aug-beethoven-.svg,[0.0476183  0.95238085 0.38912234 0.41357091]
0,lg-100032803-aug-beethoven-.svg,[0.0476183  0.95238085 0.46068786 0.48513644]
0,lg-100032803-aug-beethoven-.svg,[0.0476183  0.95238085 0.51436201 0.53881058]
0,lg-100032803-aug-beethoven-.svg,[0.0476183  0.95238085 0.58592753 0.61037611]
0,lg-100032803-aug-beethoven-.svg,[0.0476183  0.95238085 0.63960168 0.66405025]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.0476183  0.95238085 0.0469443  0.07139287]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.0476183  0.95238085 0.10357052 0.1280191 ]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.0476183  0.95238085 0.2105586  0.23500717]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.0476183  0.95238085 0.26718482 0.29163339]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.0476183  0.95238085 0.3741729  0.39862147]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.0476183  0.95238085 0.43079912 0.45524769]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.0476183  0.95238085 0.53778719 0.56223577]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.0476183  0.95238085 0.59441342 0.61886199]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.0476183  0.95238085 0.70140149 0.72585006]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.0476183  0.95238085 0.76674499 0.79119356]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.0476183  0.95238085 0.87373366 0.89818224]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.0476183  0.95238085 0.93035929 0.95480786]
0,lg-100057130-aug-gonville--page-8.svg,[0.0476183  0.95238085 0.04674213 0.0711907 ]
0,lg-100057130-aug-gonville--page-8.svg,[0.0476183  0.95238085 0.10667706 0.13112564]
0,lg-100057130-aug-gonville--page-8.svg,[0.0476183  0.95238085 0.2714537  0.29590228]
0,lg-100057130-aug-gonville--page-8.svg,[0.0476183  0.95238085 0.21100111 0.23544968]
0,lg-100057130-aug-gonville--page-8.svg,[0.0476183  0.95238085 0.37577775 0.40022633]
0,lg-100057130-aug-gonville--page-8.svg,[0.0476183  0.95238085 0.43416091 0.45860948]
0,lg-100057130-aug-gonville--page-8.svg,[0.0476183  0.95238085 0.53848496 0.56293353]
0,lg-100057130-aug-gonville--page-8.svg,[0.0476183  0.95238085 0.59488873 0.6193373 ]
0,lg-100057130-aug-gonville--page-8.svg,[0.0476183  0.95238085 0.69921278 0.72366135]
0,lg-100057130-aug-gonville--page-8.svg,[0.0476183  0.95238085 0.76069353 0.7851421 ]
0,lg-100057130-aug-gonville--page-8.svg,[0.0476183  0.95238085 0.86501758 0.88946615]
0,lg-100057130-aug-gonville--page-8.svg,[0.0476183  0.95238085 0.92142195 0.94587052]
0,lg-100052827-aug-gonville--page-1.svg,[0.11904698 0.95238069 0.53128469 0.55281579]
0,lg-100052827-aug-gonville--page-1.svg,[0.11904698 0.95238069 0.77897174 0.80050284]
0,lg-100052827-aug-gonville--page-1.svg,[0.11904698 0.95238069 0.22233318 0.24386428]
0,lg-100052827-aug-gonville--page-1.svg,[0.11904698 0.95238069 0.84580226 0.86733336]
0,lg-100052827-aug-gonville--page-1.svg,[0.11904698 0.95238069 0.61384704 0.63537814]
0,lg-100052827-aug-gonville--page-1.svg,[0.11904698 0.95238069 0.35829853 0.37982963]
0,lg-100052827-aug-gonville--page-1.svg,[0.11904698 0.95238069 0.291468   0.3129991 ]
0,lg-100052827-aug-gonville--page-1.svg,[0.11904698 0.95238069 0.69640939 0.71794049]
0,lg-100052827-aug-gonville--page-1.svg,[0.11904698 0.95238069 0.44872181 0.47025291]
0,lg-100052827-aug-gonville--page-1.svg,[0.11904698 0.95238069 0.15550265 0.17703375]
0,lg-100052827-aug-gonville--page-5.svg,[0.04761857 0.95238143 0.04772347 0.06925457]
0,lg-100052827-aug-gonville--page-5.svg,[0.04761857 0.95238143 0.73841455 0.75994565]
0,lg-100052827-aug-gonville--page-5.svg,[0.04761857 0.95238143 0.19297206 0.21450316]
0,lg-100052827-aug-gonville--page-5.svg,[0.04761857 0.95238143 0.36644874 0.38797984]
0,lg-100052827-aug-gonville--page-5.svg,[0.04761857 0.95238143 0.26559662 0.28712772]
0,lg-100052827-aug-gonville--page-5.svg,[0.04761857 0.95238143 0.81103911 0.83257021]
0,lg-100052827-aug-gonville--page-5.svg,[0.04761857 0.95238143 0.45944046 0.48097156]
0,lg-100052827-aug-gonville--page-5.svg,[0.04761857 0.95238143 0.12034803 0.14187913]
0,lg-100052827-aug-gonville--page-5.svg,[0.04761857 0.95238143 0.64542336 0.66695446]
0,lg-100052827-aug-gonville--page-5.svg,[0.04761857 0.95238143 0.55243165 0.57396275]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.0476183  0.95238085 0.04709459 0.07154316]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.0476183  0.95238085 0.10402258 0.12847115]
