,file_name,bbox
0,lg-100032803-aug-beethoven-.svg,[0.17625094 0.18832917 0.1389397  0.1629887 ]
0,lg-100032803-aug-beethoven-.svg,[0.17625094 0.18832917 0.08526555 0.10931455]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.93581336 0.94725056 0.04942971 0.07713392]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.93581336 0.94725056 0.13088202 0.15858563]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.12199426 0.13343145 0.28971037 0.31741458]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.12199426 0.13343145 0.23345271 0.26115632]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.11735359 0.1312508  0.0563656  0.08044652]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.11735359 0.1312508  0.11243779 0.1365187 ]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.1887821  0.20954494 0.16273541 0.18678721]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.1887821  0.20954494 0.10396402 0.12801582]
0,lg-100057130-aug-lilyjazz--page-1.svg,[0.19369352 0.21511043 0.16155083 0.18959974]
0,lg-100057130-aug-lilyjazz--page-1.svg,[0.19369352 0.21511043 0.10284562 0.13089514]
0,lg-100057130-aug-beethoven--page-10.svg,[0.93707263 0.9477676  0.047241   0.07129   ]
0,lg-100057130-aug-beethoven--page-10.svg,[0.93707263 0.9477676  0.13572581 0.15977421]
0,lg-100057130-aug-beethoven--page-10.svg,[0.11855298 0.12924794 0.29451063 0.31855962]
0,lg-100057130-aug-beethoven--page-10.svg,[0.11855298 0.12924794 0.23825595 0.26230495]
0,lg-100057130-aug-emmentaler--page-1.svg,[0.18822795 0.21124911 0.16256586 0.18648425]
0,lg-100057130-aug-emmentaler--page-1.svg,[0.18822795 0.21124911 0.10377598 0.12769437]
0,lg-100032803-aug-lilyjazz-.svg,[0.17925363 0.19173671 0.13955993 0.16758499]
0,lg-100032803-aug-lilyjazz-.svg,[0.17925363 0.19173671 0.08588579 0.11391085]
0,lg-100057130-aug-gutenberg1939--page-3.svg,[0.93416441 0.94806163 0.87842926 0.90250957]
0,lg-100057130-aug-gutenberg1939--page-3.svg,[0.93416441 0.94806163 0.94001557 0.96409588]
0,lg-100057130-aug-emmentaler--page-4.svg,[0.11679944 0.13036214 0.05516688 0.07923974]
0,lg-100057130-aug-emmentaler--page-4.svg,[0.11679944 0.13036214 0.11124622 0.13531848]
0,lg-100057130-aug-beethoven--page-1.svg,[0.18964495 0.21040988 0.16255394 0.18680511]
0,lg-100057130-aug-beethoven--page-1.svg,[0.18964495 0.21040988 0.10382369 0.12807486]
0,lg-100057130-aug-emmentaler--page-10.svg,[0.93587831 0.94842886 0.047241   0.07108783]
0,lg-100057130-aug-emmentaler--page-10.svg,[0.93587831 0.94842886 0.12673718 0.15058341]
0,lg-100057130-aug-emmentaler--page-10.svg,[0.11686692 0.12941747 0.28735646 0.31120328]
0,lg-100057130-aug-emmentaler--page-10.svg,[0.11686692 0.12941747 0.23096104 0.25480727]
0,lg-100032803-aug-emmentaler-.svg,[0.17422666 0.18778936 0.13913054 0.16320339]
0,lg-100032803-aug-emmentaler-.svg,[0.17422666 0.18778936 0.08545639 0.10952925]
0,lg-100057130-aug-lilyjazz--page-4.svg,[0.12206173 0.13454481 0.05323461 0.08125967]
0,lg-100057130-aug-lilyjazz--page-4.svg,[0.12206173 0.13454481 0.10929726 0.13732232]
0,lg-100057130-aug-gonville--page-3.svg,[0.93645018 0.94807651 0.87588863 0.89940149]
0,lg-100057130-aug-gonville--page-3.svg,[0.93645018 0.94807651 0.94037752 0.96389038]
0,lg-100057130-aug-gonville--page-1.svg,[0.1852919  0.20524962 0.16331725 0.18683011]
0,lg-100057130-aug-gonville--page-1.svg,[0.1852919  0.20524962 0.10451961 0.12803247]
0,lg-100057130-aug-emmentaler--page-3.svg,[0.93466795 0.94823065 0.87477345 0.8988463 ]
0,lg-100057130-aug-emmentaler--page-3.svg,[0.93466795 0.94823065 0.94001557 0.96408782]
0,lg-100057130-aug-lilyjazz--page-3.svg,[0.93445203 0.94693511 0.86571445 0.89373951]
0,lg-100057130-aug-lilyjazz--page-3.svg,[0.93445203 0.94693511 0.93820257 0.96622763]
0,lg-100057130-aug-gutenberg1939--page-10.svg,[0.93673525 0.94850873 0.047241   0.07129   ]
0,lg-100057130-aug-gutenberg1939--page-10.svg,[0.93673525 0.94850873 0.12424252 0.14829093]
0,lg-100057130-aug-gutenberg1939--page-10.svg,[0.11735359 0.12912706 0.285423   0.309472  ]
0,lg-100057130-aug-gutenberg1939--page-10.svg,[0.11735359 0.12912706 0.22898404 0.25303304]
0,lg-100032803-aug-gutenberg1939-.svg,[0.17276665 0.18666386 0.13698477 0.16106508]
0,lg-100032803-aug-gutenberg1939-.svg,[0.17276665 0.18666386 0.08331062 0.10739094]
0,lg-100057130-aug-gonville--page-10.svg,[0.93616425 0.94830003 0.0475791  0.07109196]
0,lg-100057130-aug-gonville--page-10.svg,[0.93616425 0.94830003 0.12817262 0.15168488]
0,lg-100057130-aug-gonville--page-10.svg,[0.1138634  0.12599918 0.2885766  0.31208946]
0,lg-100057130-aug-gonville--page-10.svg,[0.1138634  0.12599918 0.23219728 0.25571014]
0,lg-100057130-aug-beethoven--page-4.svg,[0.11892409 0.13100232 0.05862171 0.08267011]
0,lg-100057130-aug-beethoven--page-4.svg,[0.11892409 0.13100232 0.1146432  0.1386922 ]
0,lg-100057130-aug-beethoven--page-3.svg,[0.93544393 0.94752215 0.87456472 0.89861372]
0,lg-100057130-aug-beethoven--page-3.svg,[0.93544393 0.94752215 0.94003942 0.96408782]
0,lg-100032803-aug-gonville-.svg,[0.1730703  0.18469663 0.1392778  0.16279066]
0,lg-100032803-aug-gonville-.svg,[0.1730703  0.18469663 0.08560365 0.10911651]
0,lg-100057130-aug-gonville--page-4.svg,[0.1138634  0.12548973 0.05478933 0.07830218]
0,lg-100057130-aug-gonville--page-4.svg,[0.1138634  0.12548973 0.11088239 0.13439524]
