,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.05392774 0.07659971 0.1087635  0.12727511]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.05392774 0.07659971 0.27534001 0.29385163]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.05392774 0.07659971 0.44198749 0.46049911]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.05392774 0.07659971 0.60856401 0.62707562]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.05392774 0.07659971 0.77514052 0.79365214]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.05392774 0.07659971 0.94171704 0.96022865]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.05392774 0.07659971 0.1035577  0.12206932]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.05392774 0.07659971 0.26718273 0.28569435]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.05392774 0.07659971 0.43080836 0.44931998]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.05392774 0.07659971 0.59443339 0.61294501]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.05392774 0.07659971 0.76672084 0.78523245]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.05392774 0.07659971 0.93034587 0.94885749]
0,lg-100057130-aug-gonville--page-5.svg,[0.05436634 0.07667522 0.11195102 0.1309822 ]
0,lg-100057130-aug-gonville--page-5.svg,[0.05436634 0.07667522 0.29513074 0.31416191]
0,lg-100057130-aug-gonville--page-5.svg,[0.05436634 0.07667522 0.45794887 0.47698004]
0,lg-100057130-aug-gonville--page-5.svg,[0.05436634 0.07667522 0.61679512 0.63582629]
0,lg-100057130-aug-gonville--page-5.svg,[0.05436634 0.07667522 0.77564076 0.79467194]
0,lg-100057130-aug-gonville--page-5.svg,[0.05436634 0.07667522 0.94072156 0.95975273]
0,lg-100032803-aug-beethoven-.svg,[0.12579569 0.14981718 0.13867729 0.15924045]
0,lg-100032803-aug-beethoven-.svg,[0.05436634 0.07838783 0.26391696 0.28448012]
0,lg-100032803-aug-beethoven-.svg,[0.05436634 0.07838783 0.38915663 0.40971979]
0,lg-100032803-aug-beethoven-.svg,[0.05436634 0.07838783 0.5143963  0.53495946]
0,lg-100032803-aug-beethoven-.svg,[0.05436634 0.07838783 0.63963597 0.66019913]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.05436664 0.07615526 0.10479738 0.12038186]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.05436664 0.07615526 0.26841167 0.28399615]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.05436664 0.07615526 0.43202597 0.44761045]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.05436664 0.07615526 0.59564027 0.61122475]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.05436664 0.07615526 0.76797184 0.78355632]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.05436664 0.07615526 0.93158614 0.94717062]
0,lg-100057130-aug-gonville--page-8.svg,[0.05436634 0.07667522 0.10689253 0.12592371]
0,lg-100057130-aug-gonville--page-8.svg,[0.05436634 0.07667522 0.27166918 0.29070035]
0,lg-100057130-aug-gonville--page-8.svg,[0.05436634 0.07667522 0.43437638 0.45340755]
0,lg-100057130-aug-gonville--page-8.svg,[0.05436634 0.07667522 0.5951042  0.61413537]
0,lg-100057130-aug-gonville--page-8.svg,[0.05436634 0.07667522 0.760909   0.77994017]
0,lg-100057130-aug-gonville--page-8.svg,[0.05436634 0.07667522 0.92163742 0.94066859]
0,lg-100052827-aug-gonville--page-1.svg,[0.12497674 0.14458044 0.84601519 0.86273864]
0,lg-100052827-aug-gonville--page-1.svg,[0.12497674 0.14458044 0.35851145 0.3752349 ]
