,file_name,bbox
0,lg-100057130-aug-gonville--page-5.svg,[0.3500379  0.37190575 0.20441803 0.2128311 ]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.62251263 0.63576617 0.03289051 0.04940113]
0,lg-100057130-aug-beethoven--page-10.svg,[0.61911598 0.64138309 0.03644832 0.04575184]
0,lg-100057130-aug-lilyjazz--page-15.svg,[0.78053575 0.79378929 0.50970119 0.52621181]
0,lg-100057130-aug-gonville--page-15.svg,[0.7732075  0.79507535 0.51999754 0.52841062]
0,lg-100057130-aug-gutenberg1939--page-3.svg,[0.58629223 0.60226704 0.37830654 0.38408384]
0,lg-100057130-aug-gutenberg1939--page-3.svg,[0.54064381 0.55661862 0.44531155 0.45108886]
0,lg-100057130-aug-gutenberg1939--page-3.svg,[0.65571923 0.67169405 0.92318796 0.92896527]
0,lg-100057130-aug-gutenberg1939--page-3.svg,[0.7168627  0.73283751 0.87124451 0.87702182]
0,lg-100057130-aug-emmentaler--page-15.svg,[0.77413641 0.79653848 0.51886616 0.52797884]
0,lg-100057130-aug-emmentaler--page-10.svg,[0.61795202 0.64035408 0.03663916 0.04575184]
0,lg-100057130-aug-beethoven--page-5.svg,[0.35281902 0.37508614 0.20135915 0.21066267]
0,lg-100057130-aug-gonville--page-3.svg,[0.57956797 0.60143582 0.37277414 0.38118721]
0,lg-100057130-aug-gonville--page-3.svg,[0.53514676 0.55701461 0.43777293 0.44618601]
0,lg-100057130-aug-gonville--page-3.svg,[0.66046    0.68232785 0.92049373 0.92890681]
0,lg-100057130-aug-gonville--page-3.svg,[0.72181349 0.74368134 0.86535011 0.87376318]
0,lg-100057130-aug-gutenberg1939--page-5.svg,[0.35926131 0.37523612 0.20826327 0.21404058]
0,lg-100057130-aug-beethoven--page-15.svg,[0.77412629 0.7963934  0.5198484  0.52915192]
0,lg-100057130-aug-emmentaler--page-3.svg,[0.5808992  0.60330127 0.3723775  0.38149017]
0,lg-100057130-aug-emmentaler--page-3.svg,[0.53679851 0.55920058 0.43848019 0.44759286]
0,lg-100057130-aug-emmentaler--page-3.svg,[0.65976695 0.68216902 0.91979413 0.92890681]
0,lg-100057130-aug-emmentaler--page-3.svg,[0.72058148 0.74298354 0.86419547 0.87330815]
0,lg-100057130-aug-gutenberg1939--page-15.svg,[0.77352828 0.7895031  0.52334541 0.52912271]
0,lg-100057130-aug-lilyjazz--page-3.svg,[0.58437598 0.59762952 0.35974159 0.37625222]
0,lg-100057130-aug-lilyjazz--page-3.svg,[0.54071726 0.5539708  0.4316733  0.44818392]
0,lg-100057130-aug-lilyjazz--page-3.svg,[0.6642137  0.67746724 0.91250894 0.92901957]
0,lg-100057130-aug-lilyjazz--page-3.svg,[0.72447745 0.73773099 0.84929452 0.86580514]
0,lg-100057130-aug-gutenberg1939--page-10.svg,[0.61406202 0.63003683 0.040033   0.0458103 ]
0,lg-100057130-aug-emmentaler--page-5.svg,[0.35250526 0.37490733 0.2042003  0.21331298]
0,lg-100057130-aug-gonville--page-10.svg,[0.61714456 0.63901241 0.03704057 0.04545365]
0,lg-100057130-aug-beethoven--page-3.svg,[0.58108814 0.60335525 0.37430619 0.38360971]
0,lg-100057130-aug-beethoven--page-3.svg,[0.53698998 0.55925709 0.44385297 0.45315649]
0,lg-100057130-aug-beethoven--page-3.svg,[0.66112322 0.68339034 0.91960329 0.92890681]
0,lg-100057130-aug-beethoven--page-3.svg,[0.72182388 0.74409099 0.86377204 0.87307556]
