,file_name,bbox
0,lg-100057130-aug-gonville--page-5.svg,[0.35004097 0.37190268 0.32934872 0.33776292]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.62248176 0.63579691 0.16683176 0.18344246]
0,lg-100057130-aug-beethoven--page-10.svg,[0.61911598 0.64138309 0.17002955 0.17933307]
0,lg-100057130-aug-lilyjazz--page-15.svg,[0.78050487 0.79382003 0.62761237 0.64422306]
0,lg-100057130-aug-gonville--page-15.svg,[0.77321057 0.79507228 0.62975992 0.63817412]
0,lg-100057130-aug-emmentaler--page-15.svg,[0.77413641 0.79653848 0.62915281 0.63826549]
0,lg-100057130-aug-emmentaler--page-10.svg,[0.61795202 0.64035408 0.16099917 0.17011185]
0,lg-100057130-aug-beethoven--page-5.svg,[0.35281902 0.37508614 0.33494038 0.3442439 ]
0,lg-100057130-aug-gutenberg1939--page-5.svg,[0.35926146 0.37523627 0.32640796 0.33218527]
0,lg-100057130-aug-beethoven--page-15.svg,[0.77412629 0.7963934  0.63036943 0.63967295]
0,lg-100057130-aug-gutenberg1939--page-15.svg,[0.77352844 0.78950325 0.6299263  0.63570361]
0,lg-100057130-aug-gutenberg1939--page-10.svg,[0.61406217 0.63003699 0.15817769 0.16395499]
0,lg-100057130-aug-emmentaler--page-5.svg,[0.35250526 0.37490733 0.32856031 0.33767299]
0,lg-100057130-aug-gonville--page-10.svg,[0.61714763 0.63900934 0.16197127 0.17038547]
