,file_name,bbox
0,lg-100057130-aug-emmentaler--page-13.svg,[0.53590277 0.54545063 0.14063043 0.1573052 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.62175261 0.63130048 0.1212481  0.13792287]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.26306147 0.27260934 0.13466664 0.15134141]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.39895159 0.40849946 0.11901168 0.13568645]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.48480227 0.49435014 0.13764854 0.1543233 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.34803244 0.35758031 0.11677526 0.13345002]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.54756011 0.55710797 0.27443709 0.29111186]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.40910168 0.41864955 0.2684733  0.28514807]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.49496755 0.50451542 0.27741899 0.29409376]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.35314544 0.36269331 0.27741899 0.29409376]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.49000637 0.49955424 0.95250971 0.96918448]
0,lg-100057130-aug-gonville--page-5.svg,[0.70693752 0.71658587 0.06759732 0.08545554]
0,lg-100057130-aug-gonville--page-5.svg,[0.61373532 0.62338367 0.06536089 0.08321911]
0,lg-100057130-aug-gonville--page-5.svg,[0.80913767 0.81878601 0.07356111 0.09141933]
0,lg-100057130-aug-gonville--page-5.svg,[0.20590303 0.21555138 0.07057921 0.08843743]
0,lg-100057130-aug-gonville--page-5.svg,[0.29910524 0.30875358 0.07356111 0.09141933]
0,lg-100057130-aug-gonville--page-5.svg,[0.51253298 0.52218133 0.07057921 0.08843743]
0,lg-100057130-aug-gonville--page-5.svg,[0.41933078 0.42897912 0.06759732 0.08545554]
0,lg-100032803-aug-beethoven-.svg,[0.34719995 0.35543204 0.09452315 0.11186586]
