,file_name,bbox
0,lg-100057130-aug-emmentaler--page-13.svg,[0.91451875 0.92204233 0.11305027 0.13098936]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.82026982 0.82779341 0.10708648 0.12502557]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.64333568 0.65085927 0.26474772 0.28268681]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.69754092 0.7050645  0.26176582 0.27970491]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.78340678 0.79093037 0.27071151 0.2886506 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.22618579 0.23370937 0.26176582 0.27970491]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.27718928 0.28471287 0.27369341 0.2916325 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.13871399 0.14623757 0.26772961 0.28566871]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.53830745 0.54583103 0.74341254 0.76135163]
0,lg-100057130-aug-gonville--page-5.svg,[0.71644594 0.72490208 0.04101922 0.05887858]
0,lg-100057130-aug-gonville--page-5.svg,[0.62324374 0.63169987 0.0387828  0.05664216]
0,lg-100057130-aug-gonville--page-5.svg,[0.81864693 0.82710306 0.04698302 0.06484237]
0,lg-100057130-aug-gonville--page-5.svg,[0.5220414  0.53049753 0.04400112 0.06186048]
0,lg-100057130-aug-gonville--page-5.svg,[0.42883919 0.43729533 0.04101922 0.05887858]
0,lg-100032803-aug-beethoven-.svg,[0.54145521 0.55039579 0.07282925 0.08995727]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.9125282  0.91948037 0.11290654 0.11985436]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.81921382 0.82616599 0.10694275 0.11389057]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.64134514 0.6482973  0.26459325 0.27154107]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.69612476 0.70307693 0.26161136 0.26855918]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.78138587 0.78833804 0.27055705 0.27750487]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.2243226  0.23127477 0.26161136 0.26855918]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.27585832 0.28281048 0.27353895 0.28048676]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.13680357 0.14375574 0.26757515 0.27452297]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.52914335 0.53609552 0.74328015 0.75022797]
0,lg-100057130-aug-gonville--page-8.svg,[0.9345987  0.94305484 0.05314898 0.07100834]
0,lg-100057130-aug-gonville--page-8.svg,[0.83146148 0.83991762 0.04420329 0.06206265]
0,lg-100057130-aug-gonville--page-8.svg,[0.21499732 0.22345345 0.20324396 0.22110331]
0,lg-100057130-aug-gonville--page-8.svg,[0.32186596 0.3303221  0.21442607 0.23228543]
0,lg-100057130-aug-gonville--page-8.svg,[0.60717262 0.61562875 0.37920271 0.39706207]
0,lg-100057130-aug-gonville--page-8.svg,[0.4919867  0.50044284 0.37025702 0.38811638]
0,lg-100057130-aug-gonville--page-8.svg,[0.24606922 0.25452535 0.38218461 0.40004397]
0,lg-100057130-aug-gonville--page-8.svg,[0.36125513 0.36971127 0.37025702 0.38811638]
0,lg-100057130-aug-gonville--page-8.svg,[0.74971503 0.75817117 0.53296422 0.55082358]
0,lg-100057130-aug-gonville--page-8.svg,[0.79945167 0.8079078  0.53296422 0.55082358]
0,lg-100057130-aug-gonville--page-8.svg,[0.36517381 0.37362994 0.69145562 0.70931498]
0,lg-100057130-aug-gonville--page-8.svg,[0.2225209  0.23097704 0.87142443 0.88928379]
0,lg-100052827-aug-gonville--page-5.svg,[0.61685599 0.62428673 0.12865018 0.14434391]
0,lg-100052827-aug-gonville--page-5.svg,[0.61685599 0.62428673 0.050785   0.06647873]
0,lg-100052827-aug-gonville--page-5.svg,[0.61685599 0.62428673 0.19079349 0.20648722]
0,lg-100052827-aug-gonville--page-3.svg,[0.26119405 0.26862479 0.35830949 0.37400322]
0,lg-100052827-aug-gonville--page-3.svg,[0.26119405 0.26862479 0.73196907 0.7476628 ]
0,lg-100052827-aug-beethoven--page-5.svg,[0.6169843  0.62484074 0.12877679 0.14382786]
0,lg-100052827-aug-beethoven--page-5.svg,[0.6169843  0.62484074 0.05091423 0.0659653 ]
0,lg-100052827-aug-beethoven--page-5.svg,[0.6169843  0.62484074 0.19091748 0.20596855]
0,lg-100057130-aug-beethoven--page-14.svg,[0.69856571 0.70750629 0.26383705 0.28096506]
0,lg-100057130-aug-beethoven--page-14.svg,[0.41632584 0.42526643 0.27576463 0.29289265]
0,lg-100057130-aug-beethoven--page-14.svg,[0.63609128 0.64503186 0.92934216 0.94647018]
0,lg-100057130-aug-beethoven--page-14.svg,[0.69100333 0.69994391 0.92039647 0.93752449]
0,lg-100057130-aug-beethoven--page-14.svg,[0.54242264 0.55136323 0.92337837 0.94050639]
0,lg-100057130-aug-beethoven--page-14.svg,[0.77864888 0.78758946 0.91443268 0.9315607 ]
0,lg-100057130-aug-beethoven--page-14.svg,[0.82973419 0.83867477 0.92636027 0.94348828]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.26198497 0.26939671 0.35838893 0.37587165]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.26198497 0.26939671 0.73204851 0.74953123]
0,lg-100057130-aug-beethoven--page-8.svg,[0.93502642 0.943967   0.05323938 0.0703674 ]
0,lg-100057130-aug-beethoven--page-8.svg,[0.83183607 0.84077665 0.04429369 0.06142171]
0,lg-100057130-aug-beethoven--page-8.svg,[0.2197899  0.22873048 0.2029974  0.22012542]
0,lg-100057130-aug-beethoven--page-8.svg,[0.32665601 0.33559659 0.21417952 0.23130753]
0,lg-100057130-aug-beethoven--page-8.svg,[0.60990127 0.61884186 0.37860847 0.39573648]
0,lg-100057130-aug-beethoven--page-8.svg,[0.49497851 0.5039191  0.36966278 0.38679079]
0,lg-100057130-aug-beethoven--page-8.svg,[0.24948781 0.2584284  0.38159036 0.39871838]
0,lg-100057130-aug-beethoven--page-8.svg,[0.36440973 0.37335031 0.36966278 0.38679079]
0,lg-100057130-aug-beethoven--page-8.svg,[0.75065473 0.75959531 0.53203303 0.54916104]
0,lg-100057130-aug-beethoven--page-8.svg,[0.80047655 0.80941713 0.53203303 0.54916104]
0,lg-100057130-aug-beethoven--page-8.svg,[0.36837986 0.37732044 0.69015944 0.70728746]
0,lg-100057130-aug-beethoven--page-8.svg,[0.22800595 0.23694654 0.87154286 0.88867088]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.9401465  0.94681707 0.36362955 0.37937238]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.9401465  0.94681707 0.1244952  0.14023803]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.9401465  0.94681707 0.73728913 0.75303196]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.9401465  0.94681707 0.0437744  0.05951723]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.45928703 0.4662392  0.06244688 0.0693947 ]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.61473088 0.62168304 0.21886408 0.2258119 ]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.93395018 0.94090234 0.24899137 0.25593919]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.67110969 0.67806185 0.37319096 0.38013878]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.54914158 0.55609374 0.36424527 0.37119309]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.4073414  0.41429357 0.35977242 0.36672024]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.21231861 0.21927077 0.54816032 0.55510814]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.3098047  0.31675687 0.53623273 0.54318055]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.41575061 0.42270278 0.53623273 0.54318055]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.64541563 0.6523678  0.70124256 0.70819038]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.92593149 0.93288365 0.69826066 0.70520848]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.79475964 0.8017118  0.70124256 0.70819038]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.23505552 0.24200769 0.70720635 0.71415417]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.51424378 0.52119595 0.70422445 0.71117227]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.36622653 0.37317869 0.70422445 0.71117227]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.83365623 0.8406084  0.85585391 0.86280173]
