,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.05443381 0.07612738 0.04162788 0.08525899]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.05443381 0.07612738 0.20820439 0.25183551]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.05443381 0.07612738 0.3747815  0.41841262]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.05443381 0.07612738 0.54142839 0.5850595 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.05443381 0.07612738 0.7080049  0.75163602]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.05443381 0.07612738 0.87458142 0.91821253]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.05443381 0.07612738 0.0366493  0.08028042]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.05443381 0.07612738 0.20027433 0.24390545]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.05443381 0.07612738 0.36389937 0.40753048]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.05443381 0.07612738 0.527525   0.57115611]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.05443381 0.07612738 0.69115003 0.73478114]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.05443381 0.07612738 0.86343747 0.90706859]
0,lg-100057130-aug-gonville--page-5.svg,[0.05436633 0.07541458 0.03892208 0.07979189]
0,lg-100057130-aug-gonville--page-5.svg,[0.05436633 0.07541458 0.20670388 0.24757368]
0,lg-100057130-aug-gonville--page-5.svg,[0.05436633 0.07541458 0.3898836  0.4307534 ]
0,lg-100057130-aug-gonville--page-5.svg,[0.05436633 0.07541458 0.55270173 0.59357153]
0,lg-100057130-aug-gonville--page-5.svg,[0.05436633 0.07541458 0.71154797 0.75241778]
0,lg-100057130-aug-gonville--page-5.svg,[0.05436633 0.07541458 0.87039362 0.91126342]
0,lg-100032803-aug-beethoven-.svg,[0.12714521 0.14995235 0.07319483 0.11837654]
0,lg-100032803-aug-beethoven-.svg,[0.05571586 0.078523   0.1984345  0.24361621]
0,lg-100032803-aug-beethoven-.svg,[0.05571586 0.078523   0.32367417 0.36885588]
0,lg-100032803-aug-beethoven-.svg,[0.05571586 0.078523   0.44891384 0.49409555]
0,lg-100032803-aug-beethoven-.svg,[0.05571586 0.078523   0.57415351 0.61933522]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.05437869 0.07608809 0.04194515 0.07770406]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.05437869 0.07608809 0.20555945 0.24131836]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.05437869 0.07608809 0.36917375 0.40493265]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.05437869 0.07608809 0.53278804 0.56854695]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.05437869 0.07608809 0.69640234 0.73216125]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.05437869 0.07608809 0.86873451 0.90449342]
0,lg-100057130-aug-gonville--page-8.svg,[0.05436633 0.07541458 0.03912366 0.07999346]
0,lg-100057130-aug-gonville--page-8.svg,[0.05436633 0.07541458 0.20338264 0.24425245]
0,lg-100057130-aug-gonville--page-8.svg,[0.05436633 0.07541458 0.36815929 0.40902909]
0,lg-100057130-aug-gonville--page-8.svg,[0.05436633 0.07541458 0.53086649 0.57173629]
