,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.08398919 0.09164772 0.11587234 0.13085339]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09174894 0.09940748 0.10692665 0.1219077 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09950869 0.10716723 0.11885424 0.13383529]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.08398919 0.09164772 0.05305451 0.06803556]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09174894 0.09940748 0.04410882 0.05908987]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09950869 0.10716723 0.0560364  0.07101745]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.08398919 0.09164772 0.28244885 0.2974299 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09174894 0.09940748 0.27350316 0.28848421]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09950869 0.10716723 0.28543075 0.3004118 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.08398919 0.09164772 0.21963102 0.23461207]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09174894 0.09940748 0.21068533 0.22566638]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09950869 0.10716723 0.22261292 0.23759397]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.08398919 0.09164772 0.44909634 0.46407739]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09174894 0.09940748 0.44015065 0.4551317 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09950869 0.10716723 0.45207823 0.46705928]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.08398919 0.09164772 0.38620813 0.40118918]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09174894 0.09940748 0.37726244 0.39224349]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09950869 0.10716723 0.38919003 0.40417108]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.08398919 0.09164772 0.61567285 0.6306539 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09174894 0.09940748 0.60672716 0.62170821]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09950869 0.10716723 0.61865475 0.6336358 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.08398919 0.09164772 0.55285502 0.56783607]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09174894 0.09940748 0.54390933 0.55889038]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09950869 0.10716723 0.55583691 0.57081796]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.08398919 0.09164772 0.78224936 0.79723041]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09174894 0.09940748 0.77330367 0.78828472]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09950869 0.10716723 0.78523126 0.80021231]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.08398919 0.09164772 0.71943153 0.73441258]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09174894 0.09940748 0.71048584 0.72546689]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09950869 0.10716723 0.72241343 0.73739448]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.08398919 0.09164772 0.94882588 0.96380693]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09174894 0.09940748 0.93988019 0.95486124]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09950869 0.10716723 0.95180777 0.96678883]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.08398919 0.09164772 0.88600805 0.9009891 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09174894 0.09940748 0.87706235 0.8920434 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.09950869 0.10716723 0.88898994 0.90397099]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.08398919 0.09164772 0.04807593 0.06305698]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.09174894 0.09940748 0.03913024 0.05411129]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.09950869 0.10716723 0.05105783 0.06603888]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.08398919 0.09164772 0.11066654 0.12564759]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.09174894 0.09940748 0.10172085 0.1167019 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.09950869 0.10716723 0.11364844 0.12862949]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.08398919 0.09164772 0.21170096 0.22668201]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.09174894 0.09940748 0.20275527 0.21773632]
