,file_name,bbox
0,lg-100032803-aug-beethoven-.svg,[0.15666601 0.16584276 0.13598166 0.15372991]
0,lg-100032803-aug-beethoven-.svg,[0.15666601 0.16584276 0.07634372 0.09409197]
0,lg-100032803-aug-beethoven-.svg,[0.08523665 0.0944134  0.26122133 0.27896958]
0,lg-100032803-aug-beethoven-.svg,[0.08523665 0.0944134  0.20158339 0.21933164]
0,lg-100032803-aug-beethoven-.svg,[0.08523665 0.0944134  0.386461   0.40420925]
0,lg-100032803-aug-beethoven-.svg,[0.08523665 0.0944134  0.32682306 0.34457131]
0,lg-100032803-aug-beethoven-.svg,[0.08523665 0.0944134  0.51170067 0.52944892]
0,lg-100032803-aug-beethoven-.svg,[0.08523665 0.0944134  0.45206273 0.46981098]
0,lg-100032803-aug-beethoven-.svg,[0.08523665 0.0944134  0.63694034 0.65468859]
0,lg-100032803-aug-beethoven-.svg,[0.08523665 0.0944134  0.5773024  0.59505065]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08066344 0.08872741 0.80873979 0.82433588]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08864662 0.0967106  0.81660072 0.83219682]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08066344 0.08872741 0.64313138 0.65872747]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08864662 0.0967106  0.65099231 0.66658841]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08066344 0.08872741 0.45191728 0.46751338]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08864662 0.0967106  0.45977822 0.47537431]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08066344 0.08872741 0.555385   0.5709811 ]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08864662 0.0967106  0.56324594 0.57884203]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08066344 0.08872741 0.73087723 0.74647332]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08864662 0.0967106  0.73873816 0.75433426]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08066344 0.08872741 0.18546094 0.20105703]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08864662 0.0967106  0.19332187 0.20891797]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08066344 0.08872741 0.2633235  0.27891959]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08864662 0.0967106  0.27118443 0.28678053]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08066344 0.08872741 0.35893028 0.37452638]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08864662 0.0967106  0.36679122 0.38238731]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08066344 0.08872741 0.04021759 0.05581369]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08864662 0.0967106  0.04807853 0.06367462]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08066344 0.08872741 0.112839   0.1284351 ]
0,lg-100052827-aug-beethoven--page-5.svg,[0.08864662 0.0967106  0.12069994 0.13629603]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.07950166 0.08629933 0.55375726 0.56720994]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.08623152 0.09302919 0.5616182  0.57507088]
