,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74506518 0.76156561 0.26909174 0.27028152]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.32491175 0.34013858 0.26909174 0.27028152]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.42466336 0.44116379 0.43573923 0.436929  ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.22522341 0.24172385 0.43573923 0.436929  ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.92310677 0.9396072  0.41459758 0.41578735]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.92310677 0.9396072  0.42056137 0.42175115]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.92310677 0.9396072  0.42652517 0.42771494]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.89817688 0.91467732 0.41459758 0.41578735]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.89817688 0.91467732 0.42056137 0.42175115]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.87324615 0.88974659 0.41459758 0.41578735]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.8745206  0.88974743 0.42056137 0.42175115]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.83958064 0.85490699 0.41459758 0.41578735]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.7735266  0.79002703 0.41459758 0.41578735]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.7735266  0.79002703 0.42056137 0.42175115]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74859671 0.76509714 0.41459758 0.41578735]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74974633 0.7650963  0.42056137 0.42175115]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.71990418 0.73640462 0.41459758 0.41578735]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.6949743  0.71147473 0.41459758 0.41578735]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.12550301 0.14200345 0.6380985  0.63928828]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.12550301 0.14200345 0.6440623  0.64525207]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.89395625 0.91045669 0.58124446 0.58243424]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74065308 0.75715352 0.58124446 0.58243424]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.71572151 0.73222195 0.58124446 0.58243424]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.68868215 0.70518259 0.58124446 0.58243424]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.68868215 0.70518259 0.58720826 0.58839804]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.6658592  0.68235964 0.58124446 0.58243424]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.56824237 0.58474281 0.58124446 0.58243424]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.54120217 0.55770261 0.58124446 0.58243424]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.54237626 0.55770261 0.58720826 0.58839804]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.47067615 0.48717659 0.58124446 0.58243424]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.42081385 0.43731428 0.58124446 0.58243424]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.3709507  0.38745113 0.58124446 0.58243424]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.32108755 0.33758798 0.58124446 0.58243424]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.27122524 0.28772568 0.58124446 0.58243424]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.12550301 0.14200345 0.58124446 0.58243424]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.92316581 0.93849216 0.74782098 0.74901076]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74828632 0.76351314 0.74782098 0.74901076]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.8954694  0.91196984 0.91439749 0.91558727]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.8954694  0.91196984 0.92036129 0.92155106]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.84700807 0.8635085  0.91439749 0.91558727]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.84818215 0.8635085  0.92036129 0.92155106]
