,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.6752097  0.68620831 0.05195717 0.05844578]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.64837868 0.65937728 0.114775   0.12126361]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.64837868 0.65937728 0.06686665 0.07335526]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.62365543 0.63465404 0.05493906 0.06142767]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.72465619 0.73565479 0.05195717 0.05844578]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74726996 0.75826856 0.06388476 0.07037336]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74726996 0.75826856 0.1117931  0.11828171]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.69782432 0.70882292 0.06090286 0.06739147]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.54737792 0.55837653 0.10284741 0.10933602]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.54737792 0.55837653 0.06984855 0.07633716]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.59682356 0.60782217 0.06388476 0.07037336]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.57420979 0.5852084  0.05493906 0.06142767]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.92809072 0.93908933 0.05195717 0.05844578]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.90336748 0.91436608 0.05493906 0.06142767]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.7967156  0.8077142  0.05792096 0.06440957]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.77410183 0.78510043 0.05195717 0.05844578]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.87299311 0.88399172 0.05195717 0.05844578]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.84616209 0.85716069 0.10881121 0.11529981]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.84616209 0.85716069 0.06090286 0.06739147]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.82354747 0.83454608 0.05195717 0.05844578]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.22925342 0.24025202 0.10284741 0.10933602]
