,file_name,bbox
0,lg-100032803-aug-beethoven-.svg,[0.85681825 0.8683904  0.09988878 0.10644895]
0,lg-100032803-aug-beethoven-.svg,[0.6995011  0.71107325 0.21916465 0.22572482]
0,lg-100032803-aug-beethoven-.svg,[0.53036551 0.54193766 0.22214655 0.22870672]
0,lg-100032803-aug-beethoven-.svg,[0.8689378  0.88050995 0.21916465 0.22572482]
0,lg-100032803-aug-beethoven-.svg,[0.19349193 0.20506408 0.22512845 0.23168862]
0,lg-100032803-aug-beethoven-.svg,[0.36207928 0.37365143 0.22214655 0.22870672]
0,lg-100032803-aug-beethoven-.svg,[0.63276471 0.64433686 0.33844053 0.3450007 ]
0,lg-100032803-aug-beethoven-.svg,[0.84830867 0.85988082 0.33844053 0.3450007 ]
0,lg-100032803-aug-beethoven-.svg,[0.21162444 0.2231966  0.34142242 0.3479826 ]
0,lg-100032803-aug-beethoven-.svg,[0.41896416 0.43053631 0.34142242 0.3479826 ]
0,lg-100032803-aug-beethoven-.svg,[0.63692714 0.64849929 0.46964399 0.47620416]
0,lg-100032803-aug-beethoven-.svg,[0.84871184 0.86028399 0.46964399 0.47620416]
0,lg-100032803-aug-beethoven-.svg,[0.21371789 0.22529004 0.46666209 0.47322227]
0,lg-100032803-aug-beethoven-.svg,[0.42544271 0.43701486 0.46666209 0.47322227]
0,lg-100032803-aug-beethoven-.svg,[0.65098831 0.66256046 0.60084746 0.60740763]
0,lg-100032803-aug-beethoven-.svg,[0.21976965 0.2313418  0.59786556 0.60442573]
0,lg-100032803-aug-beethoven-.svg,[0.43796121 0.44953336 0.59786556 0.60442573]
0,lg-100052827-aug-gonville--page-1.svg,[0.78810875 0.797479   0.83540262 0.84104865]
0,lg-100052827-aug-gonville--page-1.svg,[0.78810875 0.797479   0.60868802 0.61433405]
0,lg-100052827-aug-gonville--page-1.svg,[0.70071916 0.71008941 0.71221286 0.7178589 ]
0,lg-100052827-aug-gonville--page-1.svg,[0.70071916 0.71008941 0.61654895 0.62219499]
0,lg-100052827-aug-gonville--page-1.svg,[0.70071916 0.71008941 0.55494909 0.56059513]
0,lg-100052827-aug-gonville--page-1.svg,[0.70071916 0.71008941 0.374102   0.37974804]
0,lg-100052827-aug-gonville--page-1.svg,[0.70071916 0.71008941 0.30203085 0.30767689]
0,lg-100052827-aug-gonville--page-1.svg,[0.70071916 0.71008941 0.24599759 0.25164362]
0,lg-100052827-aug-gonville--page-1.svg,[0.70071916 0.71008941 0.17392644 0.17957248]
0,lg-100052827-aug-gonville--page-1.svg,[0.70071916 0.71008941 0.86160573 0.86725177]
0,lg-100052827-aug-gonville--page-1.svg,[0.70071916 0.71008941 0.84326355 0.84890959]
0,lg-100052827-aug-gonville--page-1.svg,[0.70071916 0.71008941 0.80263614 0.80828218]
0,lg-100052827-aug-gonville--page-1.svg,[0.65472043 0.66409067 0.84326355 0.84890959]
0,lg-100052827-aug-gonville--page-1.svg,[0.65472043 0.66409067 0.8537448  0.85939084]
0,lg-100052827-aug-gonville--page-1.svg,[0.65472043 0.66409067 0.80001583 0.80566187]
0,lg-100052827-aug-gonville--page-1.svg,[0.65472043 0.66409067 0.70435192 0.70999796]
0,lg-100052827-aug-gonville--page-1.svg,[0.65472043 0.66409067 0.61654895 0.62219499]
0,lg-100052827-aug-gonville--page-1.svg,[0.65472043 0.66409067 0.55232878 0.55797482]
0,lg-100052827-aug-gonville--page-1.svg,[0.65472043 0.66409067 0.36624106 0.3718871 ]
0,lg-100052827-aug-gonville--page-1.svg,[0.65472043 0.66409067 0.30203085 0.30767689]
0,lg-100052827-aug-gonville--page-1.svg,[0.65472043 0.66409067 0.24337727 0.24902331]
0,lg-100052827-aug-gonville--page-1.svg,[0.65472043 0.66409067 0.17130613 0.17695216]
