,file_name,bbox
0,lg-100052827-aug-gonville--page-1.svg,[0.88457995 0.89806149 0.84326194 0.8489112 ]
0,lg-100052827-aug-gonville--page-1.svg,[0.88457995 0.89806149 0.61654734 0.6221966 ]
0,lg-100052827-aug-gonville--page-1.svg,[0.2005498  0.21403134 0.85374319 0.85939244]
0,lg-100052827-aug-gonville--page-1.svg,[0.2005498  0.21403134 0.70435031 0.70999957]
0,lg-100052827-aug-gonville--page-1.svg,[0.27743251 0.29091405 0.70435031 0.70999957]
0,lg-100052827-aug-gonville--page-1.svg,[0.27743251 0.29091405 0.85374319 0.85939244]
0,lg-100052827-aug-gonville--page-5.svg,[0.63715831 0.65063985 0.27353755 0.2791868 ]
0,lg-100052827-aug-gonville--page-5.svg,[0.63715831 0.65063985 0.20877392 0.21442318]
0,lg-100052827-aug-gonville--page-5.svg,[0.63715831 0.65063985 0.14139052 0.14703977]
0,lg-100052827-aug-gonville--page-5.svg,[0.63715831 0.65063985 0.06876596 0.07441521]
0,lg-100052827-aug-gonville--page-5.svg,[0.55981607 0.57329761 0.82684097 0.83249023]
0,lg-100052827-aug-gonville--page-5.svg,[0.55981607 0.57329761 0.66122523 0.66687448]
0,lg-100052827-aug-gonville--page-5.svg,[0.90098065 0.91446219 0.65336429 0.65901355]
0,lg-100052827-aug-gonville--page-5.svg,[0.90098065 0.91446219 0.75945704 0.7651063 ]
0,lg-100052827-aug-gonville--page-5.svg,[0.9144626  0.92794414 0.75945704 0.7651063 ]
0,lg-100052827-aug-gonville--page-5.svg,[0.90098065 0.91446219 0.81373942 0.81938867]
0,lg-100052827-aug-gonville--page-5.svg,[0.90098065 0.91446219 0.81898004 0.82462929]
0,lg-100052827-aug-gonville--page-5.svg,[0.90098065 0.91446219 0.56037258 0.56602183]
0,lg-100052827-aug-gonville--page-5.svg,[0.90098065 0.91446219 0.38749123 0.39314049]
0,lg-100052827-aug-gonville--page-5.svg,[0.90098065 0.91446219 0.48048294 0.4861322 ]
0,lg-100052827-aug-gonville--page-5.svg,[0.79583994 0.80932148 0.82684097 0.83249023]
0,lg-100052827-aug-gonville--page-5.svg,[0.79583994 0.80932148 0.66122523 0.66687448]
0,lg-100052827-aug-gonville--page-5.svg,[0.19052691 0.20400845 0.05042378 0.05607303]
0,lg-100052827-aug-gonville--page-5.svg,[0.38003767 0.3935192  0.8111191  0.81676836]
0,lg-100052827-aug-gonville--page-5.svg,[0.38003767 0.3935192  0.75683673 0.76248598]
0,lg-100052827-aug-gonville--page-5.svg,[0.38003767 0.3935192  0.64550336 0.65115261]
0,lg-100052827-aug-gonville--page-5.svg,[0.38003767 0.3935192  0.26567661 0.27132587]
0,lg-100052827-aug-gonville--page-5.svg,[0.38003767 0.3935192  0.1387702  0.14441946]
0,lg-100052827-aug-gonville--page-3.svg,[0.27780903 0.29129057 0.65915518 0.66480444]
0,lg-100052827-aug-gonville--page-3.svg,[0.27780903 0.29129057 0.82542967 0.83107893]
0,lg-100052827-aug-beethoven--page-5.svg,[0.63795117 0.65093693 0.27346934 0.27933884]
0,lg-100052827-aug-beethoven--page-5.svg,[0.63795117 0.65093693 0.20870834 0.21457784]
0,lg-100052827-aug-beethoven--page-5.svg,[0.63795117 0.65093693 0.14132703 0.14719653]
0,lg-100052827-aug-beethoven--page-5.svg,[0.63795117 0.65093693 0.06870562 0.07457512]
0,lg-100052827-aug-beethoven--page-5.svg,[0.56025317 0.57323893 0.82674657 0.83261607]
0,lg-100052827-aug-beethoven--page-5.svg,[0.56025317 0.57323893 0.66113816 0.66700766]
0,lg-100052827-aug-beethoven--page-5.svg,[0.90135697 0.91434273 0.65327722 0.65914672]
0,lg-100052827-aug-beethoven--page-5.svg,[0.90135697 0.91434273 0.75936526 0.76523475]
0,lg-100052827-aug-beethoven--page-5.svg,[0.91421263 0.92719839 0.75936526 0.76523475]
0,lg-100052827-aug-beethoven--page-5.svg,[0.90135697 0.91434273 0.81364501 0.81951451]
0,lg-100052827-aug-beethoven--page-5.svg,[0.90135697 0.91434273 0.81888563 0.82475513]
0,lg-100052827-aug-beethoven--page-5.svg,[0.90135697 0.91434273 0.56029023 0.56615972]
0,lg-100052827-aug-beethoven--page-5.svg,[0.90135697 0.91434273 0.38741831 0.39328781]
0,lg-100052827-aug-beethoven--page-5.svg,[0.90135697 0.91434273 0.48040531 0.48627481]
0,lg-100052827-aug-beethoven--page-5.svg,[0.7950882  0.80807396 0.82674657 0.83261607]
0,lg-100052827-aug-beethoven--page-5.svg,[0.7950882  0.80807396 0.66113816 0.66700766]
0,lg-100052827-aug-beethoven--page-5.svg,[0.1929511  0.20593686 0.05036344 0.05623294]
0,lg-100052827-aug-beethoven--page-5.svg,[0.38332236 0.39630812 0.8110247  0.8168942 ]
0,lg-100052827-aug-beethoven--page-5.svg,[0.38332236 0.39630812 0.75674494 0.76261444]
0,lg-100052827-aug-beethoven--page-5.svg,[0.38332236 0.39630812 0.64541629 0.65128579]
0,lg-100052827-aug-beethoven--page-5.svg,[0.38332236 0.39630812 0.26560841 0.27147791]
0,lg-100052827-aug-beethoven--page-5.svg,[0.38332236 0.39630812 0.13870672 0.14457622]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.72407652 0.73872211 0.81513073 0.82042239]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.72407652 0.73872211 0.64882636 0.65411803]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.54630151 0.5609471  0.045998   0.05128966]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.809439   0.82408459 0.05385893 0.0591506 ]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.809439   0.82408459 0.13459021 0.13988188]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.809439   0.82408459 0.19435899 0.19965066]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.809439   0.82408459 0.27771058 0.28300225]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.11149109 0.12613668 0.06171987 0.06701153]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.11149109 0.12613668 0.13983083 0.1451225 ]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.11149109 0.12613668 0.19959962 0.20489128]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.11149109 0.12613668 0.27771058 0.28300225]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.11149109 0.12613668 0.80726979 0.81256146]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.27818332 0.29167269 0.65900313 0.66493551]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.27818332 0.29167269 0.82527762 0.83121001]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.64942177 0.66383019 0.13186771 0.13761143]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.64942177 0.66383019 0.05376775 0.05951147]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.64942177 0.66383019 0.75252257 0.7582663 ]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.23058291 0.24499133 0.8175215  0.82326522]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.23058291 0.24499133 0.65124701 0.65699073]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[0.88618163 0.90082722 0.84342433 0.84871599]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[0.88618163 0.90082722 0.61664474 0.62193641]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[0.20260508 0.21725067 0.85390557 0.85919724]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[0.20260508 0.21725067 0.70447287 0.70976454]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[0.2808471  0.2954927  0.70447287 0.70976454]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[0.2808471  0.2954927  0.85390557 0.85919724]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.59144789 0.60493726 0.04559971 0.0515321 ]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.78564583 0.7991352  0.64842808 0.65436046]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.78564583 0.7991352  0.81473244 0.82066483]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.88015811 0.89364747 0.05346065 0.05939303]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.88015811 0.89364747 0.13419192 0.14012431]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.88015811 0.89364747 0.19396071 0.19989309]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.88015811 0.89364747 0.27731229 0.28324468]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.11786444 0.13135381 0.06132158 0.06725397]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.11786444 0.13135381 0.13943255 0.14536493]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.11786444 0.13135381 0.19920133 0.20513371]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.11786444 0.13135381 0.27731229 0.28324468]
