,file_name,bbox
0,lg-100032803-aug-beethoven-.svg,[0.93660199 0.94071803 0.59371476 0.59662509]
0,lg-100032803-aug-beethoven-.svg,[0.93660199 0.94071803 0.59967855 0.60258888]
0,lg-100032803-aug-beethoven-.svg,[0.93660199 0.94071803 0.59371476 0.59662509]
0,lg-100032803-aug-beethoven-.svg,[0.93660199 0.94071803 0.59967855 0.60258888]
0,lg-100032803-aug-beethoven-.svg,[0.93660199 0.94071803 0.6473889  0.65029923]
0,lg-100032803-aug-beethoven-.svg,[0.93660199 0.94071803 0.6533527  0.65626303]
0,lg-100032803-aug-beethoven-.svg,[0.93660199 0.94071803 0.6473889  0.65029923]
0,lg-100032803-aug-beethoven-.svg,[0.93660199 0.94071803 0.6533527  0.65626303]
0,lg-100032803-aug-lilyjazz-.svg,[0.93535368 0.94071803 0.59607642 0.59924916]
0,lg-100032803-aug-lilyjazz-.svg,[0.93535368 0.94071803 0.60204021 0.60521295]
0,lg-100032803-aug-lilyjazz-.svg,[0.93535368 0.94071803 0.59607642 0.59924916]
0,lg-100032803-aug-lilyjazz-.svg,[0.93535368 0.94071803 0.60204021 0.60521295]
0,lg-100032803-aug-lilyjazz-.svg,[0.93535368 0.94071803 0.64975056 0.6529233 ]
0,lg-100032803-aug-lilyjazz-.svg,[0.93535368 0.94071803 0.65571436 0.6588871 ]
0,lg-100032803-aug-lilyjazz-.svg,[0.93535368 0.94071803 0.64975056 0.6529233 ]
0,lg-100032803-aug-lilyjazz-.svg,[0.93535368 0.94071803 0.65571436 0.6588871 ]
0,lg-100032803-aug-emmentaler-.svg,[0.9369225  0.94070116 0.59404873 0.59672051]
0,lg-100032803-aug-emmentaler-.svg,[0.9369225  0.94070116 0.60001252 0.6026843 ]
0,lg-100032803-aug-emmentaler-.svg,[0.9369225  0.94070116 0.59404873 0.59672051]
0,lg-100032803-aug-emmentaler-.svg,[0.9369225  0.94070116 0.60001252 0.6026843 ]
0,lg-100032803-aug-emmentaler-.svg,[0.9369225  0.94070116 0.64772287 0.65039465]
0,lg-100032803-aug-emmentaler-.svg,[0.9369225  0.94070116 0.65368667 0.65635845]
0,lg-100032803-aug-emmentaler-.svg,[0.9369225  0.94070116 0.64772287 0.65039465]
0,lg-100032803-aug-emmentaler-.svg,[0.9369225  0.94070116 0.65368667 0.65635845]
0,lg-100032803-aug-gutenberg1939-.svg,[0.93704775 0.94071841 0.59202884 0.59451492]
0,lg-100032803-aug-gutenberg1939-.svg,[0.93704775 0.94071841 0.59799263 0.60047871]
0,lg-100032803-aug-gutenberg1939-.svg,[0.93704775 0.94071841 0.59202884 0.59451492]
0,lg-100032803-aug-gutenberg1939-.svg,[0.93704775 0.94071841 0.59799263 0.60047871]
0,lg-100032803-aug-gutenberg1939-.svg,[0.93704775 0.94071841 0.64570298 0.64818906]
0,lg-100032803-aug-gutenberg1939-.svg,[0.93704775 0.94071841 0.65166678 0.65415285]
0,lg-100032803-aug-gutenberg1939-.svg,[0.93704775 0.94071841 0.64570298 0.64818906]
0,lg-100032803-aug-gutenberg1939-.svg,[0.93704775 0.94071841 0.65166678 0.65415285]
0,lg-100032803-aug-gonville-.svg,[0.93738977 0.94071787 0.59399038 0.59634947]
0,lg-100032803-aug-gonville-.svg,[0.93738977 0.94071787 0.59995417 0.60231326]
0,lg-100032803-aug-gonville-.svg,[0.93738977 0.94071787 0.59399038 0.59634947]
0,lg-100032803-aug-gonville-.svg,[0.93738977 0.94071787 0.59995417 0.60231326]
0,lg-100032803-aug-gonville-.svg,[0.93738977 0.94071787 0.64766452 0.65002361]
0,lg-100032803-aug-gonville-.svg,[0.93738977 0.94071787 0.65362832 0.6559874 ]
0,lg-100032803-aug-gonville-.svg,[0.93738977 0.94071787 0.64766452 0.65002361]
0,lg-100032803-aug-gonville-.svg,[0.93738977 0.94071787 0.65362832 0.6559874 ]
