,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.54433306 0.55533167 0.21390578 0.23096223]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.12737632 0.13837492 0.21390578 0.23096223]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.2262229  0.2372215  0.54712978 0.56418623]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.12737632 0.13837492 0.60994761 0.62700406]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.80893215 0.81993075 0.04235069 0.05940714]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.26163351 0.27263212 0.07216966 0.08922611]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.81913707 0.83013567 0.56304535 0.5801018 ]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.69093754 0.70193614 0.69685142 0.71390787]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.40296895 0.41396755 0.89895783 0.91601428]
0,lg-100057130-aug-emmentaler--page-13.svg,[0.35014613 0.36114473 0.92576568 0.94282213]
0,lg-100057130-aug-gonville--page-5.svg,[0.8799364  0.89112047 0.0416087  0.05740813]
0,lg-100057130-aug-gonville--page-5.svg,[0.55094403 0.56212809 0.26306464 0.27886407]
0,lg-100057130-aug-gonville--page-5.svg,[0.71575187 0.72693594 0.2093905  0.22518992]
0,lg-100057130-aug-gonville--page-5.svg,[0.3947647  0.40594876 0.26306464 0.27886407]
0,lg-100057130-aug-gonville--page-5.svg,[0.54179512 0.55297918 0.39257021 0.40836964]
0,lg-100057130-aug-gonville--page-5.svg,[0.22578683 0.2369709  0.39257021 0.40836964]
0,lg-100057130-aug-gonville--page-5.svg,[0.42790052 0.43908459 0.39257021 0.40836964]
0,lg-100057130-aug-gonville--page-5.svg,[0.32684326 0.33802732 0.39257021 0.40836964]
0,lg-100057130-aug-gonville--page-5.svg,[0.64109885 0.65228291 0.55538834 0.57118777]
0,lg-100057130-aug-gonville--page-5.svg,[0.2235635  0.23474756 0.55538834 0.57118777]
0,lg-100057130-aug-gonville--page-5.svg,[0.12524998 0.13643404 0.605684   0.62148343]
0,lg-100057130-aug-gonville--page-5.svg,[0.42599432 0.43717839 0.55538834 0.57118777]
0,lg-100057130-aug-gonville--page-5.svg,[0.54533508 0.55651914 0.71423459 0.73003401]
0,lg-100057130-aug-gonville--page-5.svg,[0.22755892 0.23874299 0.73212597 0.7479254 ]
0,lg-100057130-aug-gonville--page-5.svg,[0.4328305  0.44401456 0.73212597 0.7479254 ]
0,lg-100057130-aug-gonville--page-5.svg,[0.33210977 0.34329383 0.73212597 0.7479254 ]
0,lg-100057130-aug-gonville--page-5.svg,[0.22217686 0.23336093 0.87308024 0.88887966]
0,lg-100057130-aug-gonville--page-5.svg,[0.12524998 0.13643404 0.89693541 0.91273484]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.8109473  0.82031347 0.04211214 0.0573983 ]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.26465911 0.27402529 0.07193111 0.08721727]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.82158406 0.83095023 0.562774   0.57806016]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.69566185 0.70502802 0.69656933 0.71185549]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.40349203 0.4128582  0.89872047 0.91400663]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[0.34942428 0.35879045 0.92552712 0.94081329]
0,lg-100057130-aug-gonville--page-8.svg,[0.34319103 0.35437509 0.07162925 0.08742867]
0,lg-100057130-aug-gonville--page-8.svg,[0.19702093 0.20820499 0.07162925 0.08742867]
0,lg-100057130-aug-gonville--page-8.svg,[0.49752152 0.50870558 0.04181028 0.0576097 ]
0,lg-100057130-aug-gonville--page-8.svg,[0.55885139 0.57003545 0.20606926 0.22186869]
0,lg-100057130-aug-gonville--page-8.svg,[0.71904133 0.7302254  0.23588823 0.25168766]
0,lg-100057130-aug-gonville--page-8.svg,[0.40894986 0.42013392 0.20606926 0.22186869]
0,lg-100057130-aug-gonville--page-8.svg,[0.21548408 0.22666814 0.3708459  0.38664533]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.54437959 0.55374577 0.20980388 0.22509004]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.12853705 0.13790322 0.20980388 0.22509004]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.22812924 0.23749541 0.54488679 0.56017296]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.12853705 0.13790322 0.60777917 0.62306534]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.15064123 0.16241581 0.25935943 0.27434048]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.38550613 0.39728071 0.86485506 0.87983611]
0,lg-100057130-aug-beethoven--page-14.svg,[0.68749204 0.69896298 0.072311   0.08910504]
0,lg-100057130-aug-beethoven--page-14.svg,[0.12960219 0.14107312 0.04249203 0.05928607]
0,lg-100057130-aug-beethoven--page-14.svg,[0.40617069 0.41764163 0.20602761 0.22282165]
0,lg-100057130-aug-beethoven--page-14.svg,[0.66972643 0.68119736 0.39938155 0.4161756 ]
0,lg-100057130-aug-beethoven--page-14.svg,[0.82408812 0.83555906 0.72771107 0.74450511]
0,lg-100057130-aug-beethoven--page-14.svg,[0.53226749 0.54373843 0.85902546 0.8758195 ]
0,lg-100057130-aug-beethoven--page-8.svg,[0.34582513 0.35729606 0.07215833 0.08895237]
0,lg-100057130-aug-beethoven--page-8.svg,[0.20071525 0.21218618 0.07215833 0.08895237]
0,lg-100057130-aug-beethoven--page-8.svg,[0.49902117 0.51049211 0.04233936 0.0591334 ]
0,lg-100057130-aug-beethoven--page-8.svg,[0.56143741 0.57290835 0.20626139 0.22305543]
0,lg-100057130-aug-beethoven--page-8.svg,[0.72053762 0.73200855 0.23608036 0.2528744 ]
0,lg-100057130-aug-beethoven--page-8.svg,[0.41265093 0.42412186 0.20626139 0.22305543]
0,lg-100057130-aug-beethoven--page-8.svg,[0.2187845  0.23025544 0.37069034 0.38748438]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.20753975 0.21690593 0.36498657 0.38027273]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.28865193 0.2980181  0.43066523 0.44595139]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.12853705 0.13790322 0.45452041 0.46980657]
0,lg-100057130-aug-gutenberg1939--page-11.svg,[0.38396698 0.39333315 0.07172893 0.0870151 ]
0,lg-100057130-aug-gutenberg1939--page-11.svg,[0.12853705 0.13790322 0.87020041 0.88548658]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.20933194 0.22033055 0.20044669 0.21750314]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.29339536 0.30439396 0.26627206 0.28332851]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.12737632 0.13837492 0.29012724 0.30718369]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.8798664  0.890865   0.86202882 0.87908527]
0,lg-100057130-aug-lilyjazz--page-11.svg,[0.38703447 0.39880905 0.07122797 0.08620903]
0,lg-100057130-aug-lilyjazz--page-11.svg,[0.13230123 0.14407581 0.8695104  0.88449145]
0,lg-100057130-aug-lilyjazz--page-12.svg,[0.68757976 0.69935434 0.07122797 0.08620903]
0,lg-100057130-aug-lilyjazz--page-12.svg,[0.63307594 0.64485052 0.09809964 0.11308069]
0,lg-100057130-aug-lilyjazz--page-12.svg,[0.13230123 0.14407581 0.04140901 0.05639006]
0,lg-100057130-aug-lilyjazz--page-12.svg,[0.39963985 0.41141443 0.20586241 0.22084346]
0,lg-100057130-aug-lilyjazz--page-12.svg,[0.68430042 0.696075   0.37031522 0.38529627]
0,lg-100057130-aug-lilyjazz--page-12.svg,[0.13230123 0.14407581 0.40013419 0.41511524]
0,lg-100057130-aug-lilyjazz--page-12.svg,[0.13230123 0.14407581 0.73787635 0.7528574 ]
0,lg-100057130-aug-beethoven--page-10.svg,[0.14651338 0.15798432 0.26337545 0.28016949]
0,lg-100057130-aug-beethoven--page-10.svg,[0.38441218 0.39588311 0.86869754 0.88549158]
0,lg-100057130-aug-gonville--page-9.svg,[0.2078694  0.21905346 0.20007744 0.21587686]
0,lg-100057130-aug-gonville--page-9.svg,[0.29259745 0.30378151 0.26588313 0.28168256]
0,lg-100057130-aug-gonville--page-9.svg,[0.12524998 0.13643404 0.28973831 0.30553773]
0,lg-100057130-aug-gonville--page-9.svg,[0.8799364  0.89112047 0.86166375 0.87746317]
0,lg-100057130-aug-gonville--page-14.svg,[0.68610456 0.69728862 0.07178192 0.08758134]
0,lg-100057130-aug-gonville--page-14.svg,[0.12524998 0.13643404 0.04196295 0.05776238]
0,lg-100057130-aug-gonville--page-14.svg,[0.40140097 0.41258503 0.20571978 0.22151921]
0,lg-100057130-aug-gonville--page-14.svg,[0.66807748 0.67926154 0.39929558 0.41509501]
