,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.32383804 0.33648981 0.60515272 0.60887413]
0,lg-100057130-aug-gonville--page-5.svg,[0.22911594 0.24740321 0.13886806 0.14212807]
0,lg-100057130-aug-gonville--page-5.svg,[0.47416888 0.48529178 0.21163589 0.21461905]
0,lg-100057130-aug-gonville--page-5.svg,[0.74549702 0.75661992 0.41867078 0.42165394]
0,lg-100057130-aug-gonville--page-5.svg,[0.32609343 0.33721632 0.63178456 0.63476773]
0,lg-100057130-aug-gonville--page-5.svg,[0.32121238 0.33233527 0.8991808  0.90216396]
0,lg-100032803-aug-beethoven-.svg,[0.65801173 0.66894286 0.09385342 0.09719314]
0,lg-100057130-aug-gonville--page-8.svg,[0.48521557 0.49633846 0.23216982 0.23515299]
0,lg-100057130-aug-gonville--page-8.svg,[0.78715171 0.7982746  0.43147445 0.43445761]
0,lg-100057130-aug-gonville--page-8.svg,[0.78715171 0.80543898 0.40291026 0.40617027]
0,lg-100052827-aug-gonville--page-5.svg,[0.19052691 0.20030104 0.12849216 0.13111358]
0,lg-100052827-aug-gonville--page-5.svg,[0.19052691 0.20030104 0.20111619 0.20373761]
0,lg-100052827-aug-gonville--page-5.svg,[0.19052691 0.20030104 0.27374075 0.27636217]
0,lg-100052827-aug-gonville--page-5.svg,[0.19052691 0.20030104 0.65356749 0.65618891]
0,lg-100052827-aug-gonville--page-5.svg,[0.19052691 0.20030104 0.75703993 0.75966135]
0,lg-100052827-aug-gonville--page-5.svg,[0.19052691 0.20030104 0.82966448 0.83228591]
0,lg-100052827-aug-gonville--page-5.svg,[0.14272416 0.15249828 0.82966448 0.83228591]
0,lg-100052827-aug-gonville--page-5.svg,[0.14272416 0.15249828 0.81394262 0.81656404]
0,lg-100052827-aug-gonville--page-5.svg,[0.14272416 0.15249828 0.75703993 0.75966135]
0,lg-100052827-aug-gonville--page-5.svg,[0.14272416 0.15249828 0.65356749 0.65618891]
0,lg-100052827-aug-gonville--page-5.svg,[0.14272416 0.15249828 0.56057578 0.5631972 ]
0,lg-100052827-aug-gonville--page-5.svg,[0.14272416 0.15249828 0.46758459 0.47020601]
0,lg-100052827-aug-gonville--page-5.svg,[0.14272416 0.15249828 0.27374075 0.27636217]
0,lg-100052827-aug-gonville--page-5.svg,[0.14272416 0.15249828 0.20111619 0.20373761]
0,lg-100052827-aug-gonville--page-5.svg,[0.14272416 0.15249828 0.12849216 0.13111358]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.32579547 0.33746635 0.60353295 0.60696466]
0,lg-100052827-aug-beethoven--page-5.svg,[0.19295129 0.2025569  0.12822547 0.13116022]
0,lg-100052827-aug-beethoven--page-5.svg,[0.19295129 0.2025569  0.20084741 0.20378216]
0,lg-100052827-aug-beethoven--page-5.svg,[0.19295129 0.2025569  0.27346934 0.27640409]
0,lg-100052827-aug-beethoven--page-5.svg,[0.19295129 0.2025569  0.65327722 0.65621197]
0,lg-100052827-aug-beethoven--page-5.svg,[0.19295129 0.2025569  0.75674494 0.75967969]
0,lg-100052827-aug-beethoven--page-5.svg,[0.19295129 0.2025569  0.82936688 0.83230163]
0,lg-100052827-aug-beethoven--page-5.svg,[0.14547391 0.15507952 0.82936688 0.83230163]
0,lg-100052827-aug-beethoven--page-5.svg,[0.14547391 0.15507952 0.81364501 0.81657976]
0,lg-100052827-aug-beethoven--page-5.svg,[0.14547391 0.15507952 0.75674494 0.75967969]
0,lg-100052827-aug-beethoven--page-5.svg,[0.14547391 0.15507952 0.65327722 0.65621197]
0,lg-100052827-aug-beethoven--page-5.svg,[0.14547391 0.15507952 0.56029023 0.56322497]
0,lg-100052827-aug-beethoven--page-5.svg,[0.14547391 0.15507952 0.46730375 0.4702385 ]
0,lg-100052827-aug-beethoven--page-5.svg,[0.14547391 0.15507952 0.27346934 0.27640409]
0,lg-100052827-aug-beethoven--page-5.svg,[0.14547391 0.15507952 0.20084741 0.20378216]
0,lg-100052827-aug-beethoven--page-5.svg,[0.14547391 0.15507952 0.12822547 0.13116022]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.25684165 0.26851252 0.10198326 0.10541496]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.5357347  0.54740558 0.60066258 0.60409428]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.81349585 0.82516672 0.60066258 0.60409428]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.25837673 0.2700476  0.60066258 0.60409428]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.81439412 0.826065   0.9316579  0.93508961]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.54628353 0.55653919 0.12368971 0.12670529]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.54628353 0.55653919 0.19656005 0.19957563]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.54628353 0.55653919 0.2694304  0.27244597]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.54628353 0.55653919 0.65102742 0.654043  ]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.54628353 0.55653919 0.82781304 0.83082861]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.35281935 0.363075   0.2694304  0.27244597]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.80603658 0.81936311 0.04778371 0.05114728]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.80603658 0.81936311 0.12923601 0.13259959]
0,lg-100057130-aug-beethoven--page-8.svg,[0.48848647 0.4994176  0.23147631 0.23481603]
0,lg-100057130-aug-beethoven--page-8.svg,[0.78878547 0.7997166  0.43043324 0.43377296]
0,lg-100057130-aug-beethoven--page-8.svg,[0.78426457 0.8042375  0.40186905 0.40573359]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.16028849 0.1714061  0.2693282  0.27259835]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.16028849 0.1714061  0.19646834 0.19973849]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.16028849 0.1714061  0.12360848 0.12687863]
