,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.64133164 0.65030596 0.26620348 0.28328378]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.84692457 0.85589889 0.26620348 0.28328378]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.22572695 0.23470127 0.26620348 0.28328378]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.42942295 0.43839727 0.26620348 0.28328378]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.12747753 0.13645185 0.43285096 0.44993127]
0,lg-100057130-aug-gonville--page-5.svg,[0.87993639 0.88742612 0.06198406 0.07940077]
0,lg-100057130-aug-gonville--page-5.svg,[0.33867771 0.34616744 0.12717906 0.14459577]
0,lg-100057130-aug-gonville--page-5.svg,[0.18349871 0.19098844 0.13314286 0.15055957]
0,lg-100057130-aug-gonville--page-5.svg,[0.54374601 0.55123574 0.12717906 0.14459577]
0,lg-100057130-aug-gonville--page-5.svg,[0.63897756 0.64646729 0.26563033 0.28304704]
0,lg-100057130-aug-gonville--page-5.svg,[0.47416887 0.4816586  0.26264843 0.28006514]
0,lg-100057130-aug-gonville--page-5.svg,[0.12524997 0.1327397  0.22976586 0.24718257]
0,lg-100057130-aug-gonville--page-5.svg,[0.12524997 0.1327397  0.27151241 0.28892913]
0,lg-100057130-aug-gonville--page-5.svg,[0.39476469 0.40225442 0.20591068 0.22332739]
0,lg-100057130-aug-gonville--page-5.svg,[0.26557579 0.27306552 0.30439498 0.3218117 ]
0,lg-100057130-aug-gonville--page-5.svg,[0.30448842 0.31197814 0.30439498 0.3218117 ]
0,lg-100057130-aug-gonville--page-5.svg,[0.644961   0.65245073 0.41294557 0.43036228]
0,lg-100057130-aug-gonville--page-5.svg,[0.22578682 0.23327655 0.47317691 0.49059362]
0,lg-100057130-aug-gonville--page-5.svg,[0.12524997 0.1327397  0.3890904  0.40650711]
0,lg-100057130-aug-gonville--page-5.svg,[0.12524997 0.1327397  0.41294557 0.43036228]
0,lg-100057130-aug-gonville--page-5.svg,[0.42790051 0.43539024 0.47317691 0.49059362]
0,lg-100057130-aug-gonville--page-5.svg,[0.54119794 0.54868767 0.60816798 0.62558469]
0,lg-100057130-aug-gonville--page-5.svg,[0.22356349 0.23105322 0.60816798 0.62558469]
0,lg-100057130-aug-gonville--page-5.svg,[0.32609342 0.33358315 0.62605936 0.64347607]
0,lg-100057130-aug-gonville--page-5.svg,[0.22755892 0.23504864 0.76701363 0.78443034]
0,lg-100057130-aug-gonville--page-5.svg,[0.12524997 0.1327397  0.74057374 0.75799045]
0,lg-100057130-aug-gonville--page-5.svg,[0.43283049 0.44032021 0.76701363 0.78443034]
0,lg-100057130-aug-gonville--page-5.svg,[0.22217685 0.22966658 0.8934556  0.91087231]
0,lg-100032803-aug-beethoven-.svg,[0.61248802 0.62101965 0.08679228 0.10475523]
0,lg-100032803-aug-beethoven-.svg,[0.90043468 0.90896631 0.64142511 0.65938806]
0,lg-100032803-aug-beethoven-.svg,[0.90043468 0.90896631 0.58775096 0.60571391]
0,lg-100057130-aug-gonville--page-8.svg,[0.72951193 0.73700165 0.06218564 0.07960235]
0,lg-100057130-aug-gonville--page-8.svg,[0.27142007 0.27890979 0.13404816 0.15146487]
0,lg-100057130-aug-gonville--page-8.svg,[0.4257514  0.43324113 0.13404816 0.15146487]
0,lg-100057130-aug-gonville--page-8.svg,[0.6454055  0.65289523 0.26304204 0.28045875]
0,lg-100057130-aug-gonville--page-8.svg,[0.48521555 0.49270528 0.26304204 0.28045875]
0,lg-100057130-aug-gonville--page-8.svg,[0.40894985 0.41643958 0.22644462 0.24386133]
0,lg-100057130-aug-gonville--page-8.svg,[0.70049552 0.70798525 0.42574924 0.44316595]
0,lg-100057130-aug-gonville--page-8.svg,[0.70049552 0.70798525 0.39122126 0.40863797]
0,lg-100057130-aug-gonville--page-8.svg,[0.12524997 0.1327397  0.36736609 0.3847828 ]
0,lg-100057130-aug-gonville--page-8.svg,[0.73962744 0.74711717 0.55392847 0.57134518]
0,lg-100057130-aug-gonville--page-8.svg,[0.12524997 0.1327397  0.58647706 0.60389378]
0,lg-100057130-aug-gonville--page-8.svg,[0.12524997 0.1327397  0.71465629 0.732073  ]
0,lg-100057130-aug-gonville--page-8.svg,[0.45592418 0.46341391 0.69080111 0.70821782]
0,lg-100052827-aug-gonville--page-5.svg,[0.6783735  0.68495502 0.80891165 0.82421641]
0,lg-100052827-aug-gonville--page-5.svg,[0.6783735  0.68495502 0.82463352 0.83993828]
0,lg-100052827-aug-gonville--page-5.svg,[0.6783735  0.68495502 0.55554481 0.57084957]
0,lg-100052827-aug-gonville--page-5.svg,[0.6783735  0.68495502 0.64853653 0.66384128]
0,lg-100052827-aug-gonville--page-5.svg,[0.1905269  0.19710842 0.46255362 0.47785838]
0,lg-100052827-aug-gonville--page-5.svg,[0.1905269  0.19710842 0.55554481 0.57084957]
0,lg-100052827-aug-gonville--page-5.svg,[0.1905269  0.19710842 0.80891165 0.82421641]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.64202075 0.64987665 0.26148373 0.27696648]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.84751246 0.85536836 0.26148373 0.27696648]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.22736072 0.23521662 0.26148373 0.27696648]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.42848589 0.43634178 0.26148373 0.27696648]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[0.12821809 0.13607399 0.42902519 0.44450794]
0,lg-100052827-aug-beethoven--page-5.svg,[0.67901155 0.68650863 0.80744011 0.82322487]
0,lg-100052827-aug-beethoven--page-5.svg,[0.67901155 0.68650863 0.82316198 0.83894674]
0,lg-100052827-aug-beethoven--page-5.svg,[0.67901155 0.68650863 0.55408533 0.56987008]
0,lg-100052827-aug-beethoven--page-5.svg,[0.67901155 0.68650863 0.64707233 0.66285708]
0,lg-100052827-aug-beethoven--page-5.svg,[0.19253983 0.20003691 0.46109885 0.47688361]
0,lg-100052827-aug-beethoven--page-5.svg,[0.19253983 0.20003691 0.55408533 0.56987008]
0,lg-100052827-aug-beethoven--page-5.svg,[0.19253983 0.20003691 0.80744011 0.82322487]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.60499155 0.61284745 0.09501755 0.1105003 ]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.88384159 0.89169749 0.09501755 0.1105003 ]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.74888771 0.7567436  0.09501755 0.1105003 ]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.19202602 0.19988192 0.09501755 0.1105003 ]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.47214545 0.48000135 0.09501755 0.1105003 ]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.60882082 0.61667672 0.26051581 0.27599856]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.88334311 0.89119901 0.26051581 0.27599856]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.75027265 0.75812855 0.26051581 0.27599856]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.32589438 0.33375028 0.26051581 0.27599856]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.19514004 0.20299594 0.26051581 0.27599856]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.47575121 0.4836071  0.26051581 0.27599856]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.60411942 0.61197532 0.42601347 0.44149622]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.87889728 0.88675318 0.42601347 0.44149622]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.74382447 0.75168037 0.42601347 0.44149622]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.19634196 0.20419786 0.42601347 0.44149622]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.47259501 0.48045091 0.42601347 0.44149622]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.3325897  0.3404456  0.42601347 0.44149622]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.74854189 0.75639779 0.59369687 0.60917962]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.19267042 0.20052631 0.59369687 0.60917962]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.46867212 0.47652802 0.59369687 0.60917962]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.60430414 0.61216004 0.75919453 0.77467728]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.19229255 0.20014845 0.75919453 0.77467728]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.3225501  0.330406   0.75919453 0.77467728]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.46500985 0.47286575 0.75919453 0.77467728]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[0.74145437 0.74931027 0.92469219 0.94017494]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.54584272 0.55274601 0.45803833 0.47164364]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.54584272 0.55274601 0.55147235 0.56507766]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.54584272 0.55274601 0.74882165 0.76242696]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.54584272 0.55274601 0.80072949 0.8143348 ]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.41899958 0.42942464 0.1411636  0.16008075]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.51255098 0.52297603 0.1411636  0.16008075]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.71456008 0.72498513 0.04181991 0.06073707]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.71456008 0.72498513 0.12327221 0.14218937]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.13172768 0.14215274 0.10742164 0.1263388 ]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.13172768 0.14215274 0.06567509 0.08459224]
0,lg-100057130-aug-beethoven--page-8.svg,[0.72887417 0.7374058  0.06049315 0.07845609]
0,lg-100057130-aug-beethoven--page-8.svg,[0.27424383 0.28277546 0.13235567 0.15031862]
0,lg-100057130-aug-beethoven--page-8.svg,[0.42744072 0.43597235 0.13235567 0.15031862]
0,lg-100057130-aug-beethoven--page-8.svg,[0.64711928 0.65565091 0.26100186 0.2789648 ]
0,lg-100057130-aug-beethoven--page-8.svg,[0.48801823 0.49654986 0.26100186 0.2789648 ]
0,lg-100057130-aug-beethoven--page-8.svg,[0.41218269 0.42071432 0.22441518 0.24237812]
0,lg-100057130-aug-beethoven--page-8.svg,[0.70147043 0.71000207 0.42337211 0.44133505]
0,lg-100057130-aug-beethoven--page-8.svg,[0.70147043 0.71000207 0.38884413 0.40680707]
0,lg-100057130-aug-beethoven--page-8.svg,[0.12913395 0.13766558 0.36498895 0.3829519 ]
0,lg-100057130-aug-beethoven--page-8.svg,[0.74003134 0.74856297 0.55121438 0.56917732]
0,lg-100057130-aug-beethoven--page-8.svg,[0.12913395 0.13766558 0.58373495 0.60169789]
0,lg-100057130-aug-beethoven--page-8.svg,[0.12913395 0.13766558 0.71157721 0.72954016]
0,lg-100057130-aug-beethoven--page-8.svg,[0.45798968 0.46652131 0.68772204 0.70568499]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.39994603 0.40780192 0.10208464 0.11756739]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.14770013 0.15555602 0.04601246 0.06149521]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.32721185 0.33506775 0.28324919 0.29873194]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.37490312 0.38275901 0.26535781 0.28084056]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.20722079 0.21507669 0.42541709 0.44089984]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.75137251 0.75922841 0.93661978 0.95210253]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[0.38698809 0.39484398 0.87520225 0.890685  ]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.59043989 0.5996008  0.80165184 0.8182751 ]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.59043989 0.5996008  0.45896068 0.47558394]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.59043989 0.5996008  0.5523947  0.56901796]
0,lg-100052827-aug-lilyjazz--page-2.svg,[0.59043989 0.5996008  0.749744   0.76636725]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.19160344 0.20057776 0.1009885  0.1180688 ]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.12747753 0.13645185 0.11887988 0.13596019]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.20943316 0.21840748 0.26171572 0.27879603]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.75117092 0.76014524 0.77449822 0.79157853]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.38536528 0.3943396  0.71323932 0.73031963]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.87996761 0.88894193 0.88132766 0.89840797]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.34214515 0.35111947 0.94649582 0.96357613]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.18600546 0.19497978 0.95245962 0.96953992]
0,lg-100057130-aug-emmentaler--page-9.svg,[0.54606298 0.5550373  0.94649582 0.96357613]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.77049608 0.77835198 0.15236122 0.16784397]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.28361302 0.29146891 0.15236122 0.16784397]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.5252095  0.5330654  0.15236122 0.16784397]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.60868165 0.61653755 0.34386579 0.35934854]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.75240068 0.76025658 0.34386579 0.35934854]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.19606278 0.20391867 0.34386579 0.35934854]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.47088281 0.4787387  0.34386579 0.35934854]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.33386078 0.34171668 0.34386579 0.35934854]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.75805518 0.76591107 0.53793659 0.55341934]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.88326298 0.89111888 0.53793659 0.55341934]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.19347844 0.20133434 0.53793659 0.55341934]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.47032781 0.47818371 0.53793659 0.55341934]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.33562359 0.34347949 0.72944116 0.74492391]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[0.19938176 0.20723766 0.72944116 0.74492391]
