,file_name,bbox
0,lg-100052827-aug-gonville--page-1.svg,[0.30301487 0.312789   0.36382345 0.36644488]
0,lg-100052827-aug-gonville--page-1.svg,[0.30301487 0.312789   0.2278581  0.23047953]
0,lg-100052827-aug-gonville--page-1.svg,[0.22294734 0.23272146 0.16102758 0.163649  ]
0,lg-100052827-aug-gonville--page-1.svg,[0.30301487 0.312789   0.16102758 0.163649  ]
0,lg-100052827-aug-gonville--page-1.svg,[0.30301487 0.312789   0.29699293 0.29961435]
0,lg-100052827-aug-gonville--page-1.svg,[0.22294734 0.23272146 0.36382345 0.36644488]
0,lg-100052827-aug-gonville--page-1.svg,[0.22294734 0.23272146 0.29699293 0.29961435]
0,lg-100052827-aug-gonville--page-1.svg,[0.22294734 0.23272146 0.2278581  0.23047953]
0,lg-100052827-aug-gonville--page-5.svg,[0.74598339 0.75575752 0.0532484  0.05586982]
0,lg-100052827-aug-gonville--page-5.svg,[0.74598339 0.75575752 0.12587296 0.12849438]
0,lg-100052827-aug-gonville--page-5.svg,[0.74598339 0.75575752 0.19849699 0.20111841]
0,lg-100052827-aug-gonville--page-5.svg,[0.74598339 0.75575752 0.27112155 0.27374297]
0,lg-100052827-aug-gonville--page-5.svg,[0.83296386 0.84273799 0.27112155 0.27374297]
0,lg-100052827-aug-gonville--page-5.svg,[0.83296386 0.84273799 0.19849699 0.20111841]
0,lg-100052827-aug-gonville--page-5.svg,[0.83296386 0.84273799 0.12587296 0.12849438]
0,lg-100052827-aug-gonville--page-5.svg,[0.83296386 0.84273799 0.0532484  0.05586982]
0,lg-100052827-aug-gonville--page-5.svg,[0.91086717 0.92064129 0.0532484  0.05586982]
0,lg-100052827-aug-gonville--page-5.svg,[0.91086717 0.92064129 0.12587296 0.12849438]
0,lg-100052827-aug-gonville--page-5.svg,[0.91086717 0.92064129 0.19849699 0.20111841]
0,lg-100052827-aug-gonville--page-5.svg,[0.91086717 0.92064129 0.27112155 0.27374297]
0,lg-100052827-aug-gonville--page-3.svg,[0.22215206 0.23192619 0.04877867 0.0514001 ]
0,lg-100052827-aug-gonville--page-3.svg,[0.30173412 0.31150825 0.12163801 0.12425943]
0,lg-100052827-aug-gonville--page-3.svg,[0.30173412 0.31150825 0.26735773 0.26997915]
0,lg-100052827-aug-gonville--page-3.svg,[0.30173412 0.31150825 0.19449787 0.19711929]
0,lg-100052827-aug-gonville--page-3.svg,[0.30173412 0.31150825 0.04877867 0.0514001 ]
0,lg-100052827-aug-gonville--page-3.svg,[0.22215206 0.23192619 0.26735773 0.26997915]
0,lg-100052827-aug-gonville--page-3.svg,[0.22215206 0.23192619 0.19449787 0.19711929]
0,lg-100052827-aug-gonville--page-3.svg,[0.22215206 0.23192619 0.12163801 0.12425943]
0,lg-100052827-aug-gonville--page-3.svg,[0.13304813 0.14282226 0.04877867 0.0514001 ]
0,lg-100052827-aug-gonville--page-3.svg,[0.13304813 0.14282226 0.12163801 0.12425943]
0,lg-100052827-aug-gonville--page-3.svg,[0.13304813 0.14282226 0.19449787 0.19711929]
0,lg-100052827-aug-gonville--page-3.svg,[0.13304813 0.14282226 0.26735773 0.26997915]
0,lg-100052827-aug-beethoven--page-5.svg,[0.74618203 0.75578764 0.05329819 0.05623294]
0,lg-100052827-aug-beethoven--page-5.svg,[0.74618203 0.75578764 0.1259196  0.12885435]
0,lg-100052827-aug-beethoven--page-5.svg,[0.74618203 0.75578764 0.19854153 0.20147628]
0,lg-100052827-aug-beethoven--page-5.svg,[0.74618203 0.75578764 0.27116347 0.27409822]
0,lg-100052827-aug-beethoven--page-5.svg,[0.83289567 0.84250128 0.27116347 0.27409822]
0,lg-100052827-aug-beethoven--page-5.svg,[0.83289567 0.84250128 0.19854153 0.20147628]
0,lg-100052827-aug-beethoven--page-5.svg,[0.83289567 0.84250128 0.1259196  0.12885435]
0,lg-100052827-aug-beethoven--page-5.svg,[0.83289567 0.84250128 0.05329819 0.05623294]
0,lg-100052827-aug-beethoven--page-5.svg,[0.91113177 0.92073738 0.05329819 0.05623294]
0,lg-100052827-aug-beethoven--page-5.svg,[0.91113177 0.92073738 0.1259196  0.12885435]
0,lg-100052827-aug-beethoven--page-5.svg,[0.91113177 0.92073738 0.19854153 0.20147628]
0,lg-100052827-aug-beethoven--page-5.svg,[0.91113177 0.92073738 0.27116347 0.27409822]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.90846369 0.91871936 0.04855845 0.05157402]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.90846369 0.91871936 0.12142879 0.12444436]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.90846369 0.91871936 0.19429913 0.1973147 ]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.90846369 0.91871936 0.26716947 0.27018505]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.22027466 0.23471273 0.04877867 0.05248903]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.29593147 0.31036954 0.12163801 0.12534837]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.29593147 0.31036954 0.26735773 0.27106809]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.29593147 0.31036954 0.19449787 0.19820823]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.29593147 0.31036954 0.04877867 0.05248903]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.22027466 0.23471273 0.26735773 0.27106809]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.22027466 0.23471273 0.19449787 0.19820823]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.22027466 0.23471273 0.12163801 0.12534837]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.13366405 0.14810211 0.04877867 0.05248903]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.13366405 0.14810211 0.12163801 0.12534837]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.13366405 0.14810211 0.19449787 0.19820823]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.13366405 0.14810211 0.26735773 0.27106809]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.2567886  0.26790621 0.19449787 0.19776802]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.2567886  0.26790621 0.26735773 0.27062788]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[0.30592117 0.31617683 0.36358069 0.36659627]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[0.30592117 0.31617683 0.22793869 0.23095427]
