,file_name,bbox
0,lg-100052827-aug-gonville--page-1.svg,[0.45569299 0.47767844 0.17433195 0.17921799]
0,lg-100052827-aug-gonville--page-1.svg,[0.54323453 0.5609849  0.24456888 0.24981162]
0,lg-100052827-aug-gonville--page-1.svg,[0.54098581 0.55873618 0.15906653 0.16509955]
0,lg-100052827-aug-gonville--page-1.svg,[0.57524435 0.59150941 0.17437073 0.17877917]
0,lg-100052827-aug-gonville--page-1.svg,[0.41844826 0.43201916 0.15479338 0.16344508]
0,lg-100052827-aug-gonville--page-1.svg,[0.57543779 0.59170285 0.2464031  0.25021326]
0,lg-100052827-aug-gonville--page-1.svg,[0.88893064 0.9233137  0.24902341 0.25442033]
0,lg-100052827-aug-gonville--page-1.svg,[0.88902996 0.92341302 0.17773836 0.18267428]
0,lg-100052827-aug-gonville--page-1.svg,[0.62359186 0.64117695 0.24902341 0.25296867]
0,lg-100052827-aug-gonville--page-1.svg,[0.62378012 0.64136521 0.17773836 0.18119009]
0,lg-100052827-aug-gonville--page-5.svg,[0.56390513 0.58868331 0.21180136 0.21693499]
0,lg-100052827-aug-gonville--page-5.svg,[0.56403928 0.58881746 0.14965857 0.15429066]
0,lg-100052827-aug-gonville--page-5.svg,[0.56403928 0.58881746 0.07179339 0.07642548]
0,lg-100052827-aug-gonville--page-5.svg,[0.28867538 0.46805503 0.18842921 0.20091449]
0,lg-100052827-aug-gonville--page-5.svg,[0.2882581  0.49703123 0.14258373 0.15599883]
0,lg-100052827-aug-gonville--page-5.svg,[0.28859237 0.46676836 0.25295019 0.2630578 ]
0,lg-100052827-aug-gonville--page-5.svg,[0.19733533 0.5014464  0.03049569 0.03978576]
0,lg-100052827-aug-gonville--page-3.svg,[0.61948305 0.63060781 0.2611282  0.26977523]
0,lg-100052827-aug-gonville--page-3.svg,[0.61330659 0.63345392 0.20780224 0.21251883]
0,lg-100052827-aug-gonville--page-3.svg,[0.61314576 0.63329235 0.140183   0.14438318]
0,lg-100052827-aug-gonville--page-3.svg,[0.61326138 0.63414396 0.04641114 0.05119617]
0,lg-100052827-aug-gonville--page-3.svg,[0.87685247 0.9093359  0.06548945 0.07028598]
0,lg-100052827-aug-gonville--page-3.svg,[0.56427275 0.58051483 0.20784207 0.2122496 ]
0,lg-100052827-aug-gonville--page-3.svg,[0.77477652 0.80528398 0.25999054 0.26590817]
0,lg-100052827-aug-gonville--page-3.svg,[0.77402497 0.80453243 0.18607562 0.19167475]
0,lg-100052827-aug-gonville--page-3.svg,[0.77488843 0.80539589 0.140183   0.14529229]
0,lg-100052827-aug-gonville--page-3.svg,[0.7814204  0.80408328 0.04678469 0.05302829]
0,lg-100052827-aug-gonville--page-3.svg,[0.56565356 0.58189564 0.04463317 0.04783431]
0,lg-100052827-aug-gonville--page-3.svg,[0.52453619 0.5453995  0.19035086 0.19368452]
0,lg-100052827-aug-gonville--page-3.svg,[0.52310499 0.54396829 0.04155523 0.04772793]
0,lg-100052827-aug-gonville--page-3.svg,[0.43726148 0.45812479 0.06007326 0.06340693]
0,lg-100052827-aug-gonville--page-3.svg,[0.87685247 0.9093359  0.28406851 0.28886504]
0,lg-100052827-aug-gonville--page-3.svg,[0.87664272 0.90912615 0.18592858 0.19167475]
0,lg-100052827-aug-gonville--page-3.svg,[0.87674722 0.90923065 0.14280331 0.1480626 ]
0,lg-100052827-aug-beethoven--page-5.svg,[0.56464111 0.58925772 0.21188678 0.21700634]
0,lg-100052827-aug-beethoven--page-5.svg,[0.56478638 0.58939187 0.14974609 0.15436259]
0,lg-100052827-aug-beethoven--page-5.svg,[0.56478638 0.58939187 0.07188406 0.07650056]
0,lg-100052827-aug-beethoven--page-5.svg,[0.29031263 0.47044458 0.18844948 0.20093912]
0,lg-100052827-aug-beethoven--page-5.svg,[0.28986497 0.49811705 0.14267125 0.15608397]
