,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.07577805 0.07637145]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.06981426 0.07040766]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.06385046 0.06444386]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.05788667 0.05848007]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.05192288 0.05251627]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.13263209 0.13322549]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.1266683  0.12726169]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.1207045  0.1212979 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.11474071 0.11533411]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.10877692 0.10937031]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.24235457 0.24294796]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.23639077 0.23698417]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.23042698 0.23102038]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.22446318 0.22505658]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.21849939 0.21909279]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.2992086  0.299802  ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.29324481 0.29383821]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.28728102 0.28787441]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.28131722 0.28191062]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.27535343 0.27594683]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.40893168 0.40952507]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.40296788 0.40356128]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.39700409 0.39759749]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.39104029 0.39163369]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.3850765  0.3856699 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.46585609 0.46644949]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.45989229 0.46048569]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.4539285  0.4545219 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.44796471 0.4485581 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.44200091 0.44259431]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.57557856 0.57617196]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.56961477 0.57020817]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.56365097 0.56424437]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.55768718 0.55828058]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.55172339 0.55231678]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.6324326  0.633026  ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.62646881 0.62706221]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.62050501 0.62109841]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.61454122 0.61513462]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.60857743 0.60917082]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.74215508 0.74274847]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.73619128 0.73678468]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.73022749 0.73082089]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.7242637  0.72485709]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.7182999  0.7188933 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.79900912 0.79960251]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.79304532 0.79363872]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.78708153 0.78767493]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.78111773 0.78171113]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.77515394 0.77574734]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.90873159 0.90932499]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.0476183  0.95238085 0.9027678  0.90336119]
