,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[0.64837783 0.64946841 0.11912917 0.13889258]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.64837783 0.64946841 0.07122082 0.08682568]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.6335643  0.63465488 0.04029199 0.05707351]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.72465534 0.72574593 0.05631133 0.08094598]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.69782432 0.6989149  0.06525702 0.08301422]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.6752097  0.67630029 0.05631133 0.08475744]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.54737792 0.5484685  0.10720158 0.126965  ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.55728679 0.55837737 0.04029199 0.07198299]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.60673327 0.60782385 0.04029199 0.0660192 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.58411866 0.58520924 0.04029199 0.05707351]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.92808988 0.92918046 0.05631133 0.07610636]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.90336748 0.90445806 0.05929323 0.07754483]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.87299311 0.8740837  0.05631133 0.0793113 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.77410099 0.77519157 0.05631133 0.07919501]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.7967156  0.79780618 0.06227513 0.07778338]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74726996 0.74836054 0.11614727 0.13591069]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.84616124 0.84725183 0.06525702 0.08087203]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.84616124 0.84725183 0.11316537 0.13292879]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.74726996 0.74836054 0.06823892 0.08086964]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.82354747 0.82463805 0.05631133 0.07610874]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.21443989 0.21553047 0.04743244 0.0660192 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.23916313 0.24025371 0.05226251 0.0690005 ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.18971749 0.19080807 0.04933847 0.06900109]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.31333201 0.31442259 0.05814043 0.07794679]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.26388637 0.26497695 0.05422162 0.07198239]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.22925342 0.230344   0.10720158 0.126965  ]
0,lg-100057130-aug-emmentaler--page-6.svg,[0.16499424 0.16608483 0.0512439  0.07198299]
