,file_name,bbox
0,lg-100057130-aug-emmentaler--page-6.svg,[ 0.0476187263042919 0.05643439425441019 0.017547986175925952 0.026733898502193185]
0,lg-100057130-aug-emmentaler--page-13.svg,[ 0.928952728775604 0.9465840646758406 0.017547986175925952 0.026733898502193185]
0,lg-100057130-aug-gonville--page-5.svg,[ 0.9406674229612728 0.9494830909113912 0.017345813565841774 0.026531725892109007]
0,lg-100032803-aug-beethoven-.svg,[ 0.3247143863259686 0.6045850009067101 0.0239752860384605 0.0385565233467618]
0,lg-100032803-aug-beethoven-.svg,[ 0.7635241079448888 0.9222061310470181 0.05024388934776969 0.059429801674036914]
0,lg-100032803-aug-beethoven-.svg,[ 0.2324290130355388 0.6908437464416901 0.9675815325160948 0.976767444842362]
0,lg-100057130-aug-gutenberg1939--page-13.svg,[ 0.928952728775604 0.9465840646758406 0.017547986175925952 0.026733898502193185]
0,lg-100057130-aug-gonville--page-8.svg,[ 0.0476187263042919 0.05643439425441019 0.017547986175925952 0.026733898502193185]
0,lg-100052827-aug-gonville--page-1.svg,[ 0.37028604124929315 0.5669989349330832 0.022800169796192163 0.0356110828699749]
0,lg-100052827-aug-gonville--page-1.svg,[ 0.8472381265791636 0.940198234375498 0.045881236996703635 0.0539532641221694]
0,lg-100052827-aug-gonville--page-1.svg,[ 0.3602861227784238 0.6081797435686487 0.96930210620647 0.9773741333319357]
0,lg-100052827-aug-gonville--page-5.svg,[ 0.9420957878345195 0.9498424634842141 0.017248043937385032 0.025320071062850794]
0,lg-100052827-aug-gonville--page-5.svg,[ 0.26728584335585764 0.670112977139973 0.9690998181503745 0.9771718452758402]
0,lg-100057130-aug-gutenberg1939--page-6.svg,[ 0.0476187263042919 0.05643439425441019 0.017547986175925952 0.026733898502193185]
0,lg-100052827-aug-gonville--page-3.svg,[ 0.9420957878345195 0.9498424634842141 0.017449807931159172 0.025521835056624934]
0,lg-100052827-aug-beethoven--page-5.svg,[ 0.9420957878345195 0.9498424634842141 0.017248043937385032 0.025320071062850794]
0,lg-100052827-aug-beethoven--page-5.svg,[ 0.26728584335585764 0.670112977139973 0.9690998181503745 0.9771718452758402]
0,lg-100057130-aug-gutenberg1939--page-2.svg,[ 0.0476187263042919 0.05643439425441019 0.017547986175925952 0.026733898502193185]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[ 0.04761894173705966 0.05536561738675419 0.017449807931159172 0.025521835056624934]
0,lg-100057130-aug-lilyjazz--page-10.svg,[ 0.0476187263042919 0.06525006220452849 0.017547986175925952 0.026733898502193185]
0,lg-100057130-aug-beethoven--page-14.svg,[ 0.0476187263042919 0.06525006220452849 0.017547986175925952 0.026733898502193185]
0,lg-100052827-aug-lilyjazz--page-3.svg,[ 0.9420957878345195 0.9498424634842141 0.017449807931159172 0.025521835056624934]
0,lg-100057130-aug-beethoven--page-8.svg,[ 0.0476187263042919 0.05643439425441019 0.017547986175925952 0.026733898502193185]
0,lg-100052827-aug-emmentaler--page-4.svg,[ 0.04761894173705966 0.05536561738675419 0.017449807931159172 0.025521835056624934]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[ 0.37028604124929315 0.5669989349330832 0.022800169796192163 0.0356110828699749]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[ 0.8472381265791636 0.940198234375498 0.045881236996703635 0.0539532641221694]
