,file_name,bbox
0,lg-100052827-aug-gonville--page-1.svg,[ 0.37528451813689634 0.41401789638536896 0.1398618571720549 0.14793388429752066]
0,lg-100052827-aug-gonville--page-1.svg,[ 0.37528451813689634 0.41401789638536896 0.34760645015905295 0.3556784772845187]
0,lg-100052827-aug-gonville--page-1.svg,[ 0.37528451813689634 0.41401789638536896 0.27582720617135786 0.28389923329682365]
0,lg-100052827-aug-gonville--page-1.svg,[ 0.37528451813689634 0.41401789638536896 0.21164110115974988 0.21971312828521566]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[ 0.37770445097171607 0.4164378292201887 0.1399457071434935 0.14801773426895926]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[ 0.37770445097171607 0.4164378292201887 0.34738162742313317 0.3554536545485989]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[ 0.37770445097171607 0.4164378292201887 0.27558823375275787 0.28366026087822366]
0,lg-100052827-aug-gutenberg1939--page-1.svg,[ 0.37770445097171607 0.4164378292201887 0.21173910081386876 0.21981112793933455]
0,lg-100057130-aug-gutenberg1939--page-4.svg,[ 0.14822221566204596 0.2011162233627557 0.03361265755597766 0.04279856988224489]
0,lg-100057130-aug-gutenberg1939--page-1.svg,[ 0.2265079853745556 0.27940199307526536 0.08682639694415205 0.09601230927041927]
0,lg-100057130-aug-lilyjazz--page-1.svg,[ 0.23350019610241185 0.28639420380312164 0.08682639694415205 0.09601230927041927]
0,lg-100052827-aug-lilyjazz--page-1.svg,[ 0.38660076148208106 0.4253341397305537 0.13988491591420052 0.14795694303966628]
0,lg-100052827-aug-lilyjazz--page-1.svg,[ 0.38660076148208106 0.4253341397305537 0.347543562680474 0.3556155898059397]
0,lg-100052827-aug-lilyjazz--page-1.svg,[ 0.38660076148208106 0.4253341397305537 0.27576065025652846 0.28383267738199425]
0,lg-100052827-aug-lilyjazz--page-1.svg,[ 0.38660076148208106 0.4253341397305537 0.21166835240046744 0.2197403795259332]
0,lg-100057130-aug-emmentaler--page-1.svg,[ 0.228021136887918 0.28091514458862776 0.08682639694415205 0.09601230927041927]
0,lg-100052827-aug-beethoven--page-1.svg,[ 0.3780031440597505 0.4167365223082231 0.13987286248080621 0.14794488960627197]
0,lg-100052827-aug-beethoven--page-1.svg,[ 0.3780031440597505 0.4167365223082231 0.3475760545444064 0.35564808166987216]
0,lg-100052827-aug-beethoven--page-1.svg,[ 0.3780031440597505 0.4167365223082231 0.2757952383697469 0.2838672654952127]
0,lg-100052827-aug-beethoven--page-1.svg,[ 0.3780031440597505 0.4167365223082231 0.21165420271778718 0.21972622984325296]
0,lg-100057130-aug-emmentaler--page-4.svg,[ 0.14716452781491307 0.2000585355156228 0.03361265755597766 0.04279856988224489]
0,lg-100057130-aug-beethoven--page-1.svg,[ 0.2276567659549344 0.2805507736556441 0.08682639694415205 0.09601230927041927]
0,lg-100052827-aug-emmentaler--page-1.svg,[ 0.37775040375449065 0.4164837820029632 0.13986604967062682 0.14793807679609258]
0,lg-100052827-aug-emmentaler--page-1.svg,[ 0.37775040375449065 0.4164837820029632 0.3475943967256586 0.35566642385112435]
0,lg-100052827-aug-emmentaler--page-1.svg,[ 0.37775040375449065 0.4164837820029632 0.2758146286756421 0.28388665580110783]
0,lg-100052827-aug-emmentaler--page-1.svg,[ 0.37775040375449065 0.4164837820029632 0.21164634178296482 0.2197183689084306]
0,lg-100057130-aug-lilyjazz--page-4.svg,[ 0.15264358702940692 0.20553759473011668 0.03361265755597766 0.04279856988224489]
0,lg-100057130-aug-gonville--page-1.svg,[ 0.22216083771576536 0.2750548454164752 0.08682639694415205 0.09601230927041927]
0,lg-100057130-aug-beethoven--page-4.svg,[ 0.14851320633769258 0.20140721403840234 0.03361265755597766 0.04279856988224489]
0,lg-100057130-aug-gonville--page-4.svg,[ 0.14244710506450292 0.19534111276521268 0.03361265755597766 0.04279856988224489]
