,file_name,bbox
0,lg-100057130-aug-gonville--page-5.svg,[0.89228622 0.94910025 0.13588743 0.13983963]
0,lg-100057130-aug-gonville--page-5.svg,[0.1058506  0.12242104 0.31906714 0.32160951]
0,lg-100032803-aug-beethoven-.svg,[0.54368192 0.56621387 0.10912073 0.11209204]
0,lg-100032803-aug-beethoven-.svg,[0.54482311 0.57467622 0.09853499 0.09853499]
0,lg-100032803-aug-beethoven-.svg,[0.55383117 0.57467622 0.08686996 0.08973482]
0,lg-100032803-aug-beethoven-.svg,[0.54368192 0.56621387 0.17472246 0.17769377]
0,lg-100052827-aug-gonville--page-5.svg,[0.68454082 0.72366813 0.38351614 0.38351614]
0,lg-100052827-aug-gonville--page-5.svg,[0.68922578 0.71898317 0.48068726 0.48376167]
0,lg-100052827-aug-gonville--page-5.svg,[0.6901856  0.72366813 0.74807381 0.74807381]
0,lg-100052827-aug-gonville--page-5.svg,[0.68922578 0.71802335 0.75966135 0.76270353]
0,lg-100052827-aug-gonville--page-5.svg,[0.25946201 0.28229536 0.73996028 0.7427572 ]
0,lg-100052827-aug-gonville--page-5.svg,[0.25850219 0.28229536 0.36800862 0.37085113]
0,lg-100052827-aug-gonville--page-5.svg,[0.19875023 0.28698032 0.04553014 0.04931793]
0,lg-100052827-aug-gonville--page-5.svg,[0.38826099 0.4651563  0.14552529 0.1492557 ]
0,lg-100052827-aug-gonville--page-5.svg,[0.38826099 0.45951152 0.76359182 0.76728685]
0,lg-100052827-aug-gonville--page-5.svg,[0.76342989 0.80276769 0.76359182 0.76691306]
0,lg-100052827-aug-gonville--page-5.svg,[0.76342989 0.79904255 0.48461772 0.48785643]
0,lg-100052827-aug-gonville--page-3.svg,[0.09512745 0.1106921  0.36105444 0.36339267]
0,lg-100052827-aug-gonville--page-3.svg,[0.09512745 0.1106921  0.73471402 0.73705225]
0,lg-100052827-aug-gonville--page-3.svg,[0.09512745 0.1106921  0.54526392 0.54760215]
0,lg-100052827-aug-gonville--page-3.svg,[0.09512745 0.1106921  0.79971294 0.80205118]
0,lg-100052827-aug-beethoven--page-5.svg,[0.68593867 0.72435742 0.38356016 0.38356016]
0,lg-100052827-aug-beethoven--page-5.svg,[0.69097272 0.71970507 0.48071975 0.48375957]
0,lg-100052827-aug-beethoven--page-5.svg,[0.69193254 0.72435742 0.7480801  0.7480801 ]
0,lg-100052827-aug-beethoven--page-5.svg,[0.69097272 0.71874525 0.75967969 0.76268532]
0,lg-100052827-aug-beethoven--page-5.svg,[0.26139351 0.28356943 0.74276506 0.74276506]
0,lg-100052827-aug-beethoven--page-5.svg,[0.26043369 0.28356943 0.37087943 0.37087943]
0,lg-100052827-aug-beethoven--page-5.svg,[0.2008611  0.28860349 0.04558189 0.04936772]
0,lg-100052827-aug-beethoven--page-5.svg,[0.39123236 0.46681579 0.14557194 0.14929448]
0,lg-100052827-aug-beethoven--page-5.svg,[0.39123236 0.46120436 0.76361016 0.76729655]
0,lg-100052827-aug-beethoven--page-5.svg,[0.76375007 0.80271359 0.76361016 0.76692354]
0,lg-100052827-aug-beethoven--page-5.svg,[0.76375007 0.79825839 0.48465021 0.48786141]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.61148553 0.62966282 0.73904199 0.74093922]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.61052571 0.62966282 0.36726864 0.36726864]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.55503328 0.633405   0.04090726 0.04464592]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.85910062 0.88137511 0.36047312 0.36324174]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.86006044 0.88137511 0.73425953 0.73697784]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.86841939 0.8851173  0.7982516  0.80067709]
0,lg-100052827-aug-gutenberg1939--page-2.svg,[0.86371739 0.8851173  0.5434563  0.54617932]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.1134754  0.13004669 0.15645476 0.15899713]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.10081744 0.11638209 0.36105444 0.36339267]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.10081744 0.11638209 0.73471402 0.73705225]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.10081744 0.11638209 0.54526392 0.54760215]
0,lg-100052827-aug-lilyjazz--page-3.svg,[0.10081744 0.11638209 0.79971294 0.80205118]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.65811426 0.76903687 0.06245198 0.06245198]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.6653244  0.76420886 0.13735988 0.14119012]
0,lg-100052827-aug-emmentaler--page-4.svg,[0.6653244  0.76324904 0.75801475 0.76184145]
