,file_name,bbox
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.93605712 0.94692077 0.04942971 0.06319415]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.93605712 0.94692077 0.13088202 0.14464645]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.12223886 0.13310251 0.28971037 0.3034748 ]
0,lg-100057130-aug-lilyjazz--page-10.svg,[0.12223886 0.13310251 0.23345271 0.24721714]
0,lg-100057130-aug-beethoven--page-10.svg,[0.93750111 0.94738636 0.047241   0.05916859]
0,lg-100057130-aug-beethoven--page-10.svg,[0.93750111 0.94738636 0.13572581 0.1476534 ]
0,lg-100057130-aug-beethoven--page-10.svg,[0.11898229 0.12886754 0.29451063 0.30643821]
0,lg-100057130-aug-beethoven--page-10.svg,[0.11898229 0.12886754 0.23825595 0.25018354]
0,lg-100057130-aug-emmentaler--page-10.svg,[0.93645017 0.94768494 0.047241   0.05916859]
0,lg-100057130-aug-emmentaler--page-10.svg,[0.93645017 0.94768494 0.12673718 0.13866477]
0,lg-100057130-aug-emmentaler--page-10.svg,[0.11743793 0.1286727  0.28735646 0.29928405]
0,lg-100057130-aug-emmentaler--page-10.svg,[0.11743793 0.1286727  0.23096104 0.24288862]
0,lg-100057130-aug-gutenberg1939--page-10.svg,[0.93687372 0.94797973 0.047241   0.05916899]
0,lg-100057130-aug-gutenberg1939--page-10.svg,[0.93687372 0.94797973 0.12424252 0.13617051]
0,lg-100057130-aug-gutenberg1939--page-10.svg,[0.11749121 0.12859722 0.285423   0.29735098]
0,lg-100057130-aug-gutenberg1939--page-10.svg,[0.11749121 0.12859722 0.22898404 0.24091202]
0,lg-100057130-aug-gonville--page-10.svg,[0.93702118 0.94720319 0.0475791  0.05917272]
0,lg-100057130-aug-gonville--page-10.svg,[0.93702118 0.94720319 0.12817262 0.13976624]
0,lg-100057130-aug-gonville--page-10.svg,[0.11472033 0.12490234 0.2885766  0.30017022]
0,lg-100057130-aug-gonville--page-10.svg,[0.11472033 0.12490234 0.23219728 0.2437909 ]
